MONTH,AREA,TERRITORY,CHANNEL,PACKAGE,IMPRESSIONS,REACH,FREQUENCY,VIEWABLE_IMPRESSIONS,VIEWABILITY_RATE,CLICKS,COST,CTR,AVG_CPC,CPM,POST_VIEW_SESSIONS,POST_CLICK_SESSIONS
2025-01,Area_3,T036,Display,P_01,521085,310734,1.68,347800,0.6675,2054,96892.88,0.00394,47.17,185.94,18951,2989
2025-02,Area_3,T036,Display,P_02,1783145,716155,2.49,1144932,0.6421,1493,485135.44,0.00084,324.94,272.07,13996,2188
2025-03,Area_3,T036,Display,P_03,1284032,520403,2.47,866934,0.6752,7105,47546.05,0.00553,6.69,37.03,50799,9431
2025-04,Area_3,T036,Display,P_04,1752473,518620,3.38,1440263,0.8218,8017,480827.38,0.00457,59.98,274.37,25613,10230
2025-05,Area_3,T036,Display,P_05,717571,250759,2.86,589760,0.8219,4236,29307.71,0.00590,6.92,40.84,19644,3628
2025-06,Area_3,T036,Display,P_06,485426,135120,3.59,409527,0.8436,2028,134906.87,0.00418,66.52,277.91,8150,2263
2025-07,Area_3,T036,Display,P_07,1159052,456907,2.54,709291,0.6120,3432,60817.32,0.00296,17.72,52.47,24220,4199
2025-08,Area_3,T036,Display,P_08,1530734,452364,3.38,1103826,0.7211,6711,182710.38,0.00438,27.23,119.36,49087,8621
2025-09,Area_3,T036,Display,P_09,1857803,1141381,1.63,1340138,0.7214,10322,353770.58,0.00556,34.27,190.42,56054,13143
2025-10,Area_3,T036,Display,P_10,1533189,677941,2.26,1249189,0.8148,3963,255949.95,0.00258,64.58,166.94,33959,4102
2025-11,Area_3,T036,Display,P_11,464517,191982,2.42,389593,0.8387,636,64202.22,0.00137,100.95,138.21,2763,942
2025-12,Area_3,T036,Display,P_12,1921464,542480,3.54,1266365,0.6591,3528,333360.23,0.00184,94.49,173.49,29546,5132
2025-01,Area_13,T174,Display,P_01,1251465,418616,2.99,770069,0.6153,2915,52599.98,0.00233,18.04,42.03,20393,3729
2025-02,Area_13,T174,Display,P_02,1379075,591054,2.33,1015711,0.7365,6380,276485.80,0.00463,43.34,200.49,20101,6574
2025-03,Area_13,T174,Display,P_03,1796711,764726,2.35,1070982,0.5961,7574,61568.71,0.00422,8.13,34.27,48305,6223
2025-04,Area_13,T174,Display,P_04,1853902,525478,3.53,1482962,0.7999,5058,396587.57,0.00273,78.41,213.92,15297,5280
2025-05,Area_13,T174,Display,P_05,1780370,735857,2.42,1007585,0.5659,2104,484779.62,0.00118,230.41,272.29,7528,2309
2025-06,Area_13,T174,Display,P_06,1845716,998161,1.85,1307369,0.7083,10952,394092.89,0.00593,35.98,213.52,83833,10020
2025-07,Area_13,T174,Display,P_07,1751361,537560,3.26,1202195,0.6864,7784,143327.33,0.00444,18.41,81.84,35708,11371
2025-08,Area_13,T174,Display,P_08,1793130,782062,2.29,1158588,0.6461,5368,500407.13,0.00299,93.22,279.07,29156,7787
2025-09,Area_13,T174,Display,P_09,956797,311661,3.07,802841,0.8391,2795,165150.73,0.00292,59.09,172.61,10410,2883
2025-10,Area_13,T174,Display,P_10,937283,360416,2.60,563802,0.6015,5208,126421.52,0.00556,24.27,134.88,42817,6247
2025-11,Area_13,T174,Display,P_11,507587,227289,2.23,394066,0.7764,350,135926.91,0.00069,388.36,267.79,1979,353
2025-12,Area_13,T174,Display,P_12,313281,116460,2.69,194946,0.6223,901,26955.15,0.00288,29.92,86.04,2850,1065
2025-01,Area_12,T152,Display,P_01,489226,155557,3.14,407448,0.8328,2869,139377.53,0.00586,48.58,284.89,19665,2825
2025-02,Area_12,T152,Display,P_02,1917227,1062867,1.80,1478641,0.7712,11412,494671.37,0.00595,43.35,258.01,94118,12377
2025-03,Area_12,T152,Display,P_03,1860525,977453,1.90,1216310,0.6537,1163,557426.31,0.00063,479.30,299.61,5271,1183
2025-04,Area_12,T152,Display,P_04,1953645,605622,3.23,1193546,0.6109,9121,297899.05,0.00467,32.66,152.48,76840,10317
2025-05,Area_12,T152,Display,P_05,1423216,467371,3.05,895501,0.6292,7636,392218.05,0.00537,51.36,275.59,53580,9113
2025-06,Area_12,T152,Display,P_06,1931582,829205,2.33,1535071,0.7947,1622,257839.66,0.00084,158.96,133.49,13537,2356
2025-07,Area_12,T152,Display,P_07,1232252,402154,3.06,968996,0.7864,5056,111931.87,0.00410,22.14,90.84,45905,7235
2025-08,Area_12,T152,Display,P_08,780460,219546,3.55,625884,0.8019,1288,140613.36,0.00165,109.17,180.17,6208,1200
2025-09,Area_12,T152,Display,P_09,1157458,327956,3.53,907961,0.7844,3120,148941.40,0.00270,47.74,128.68,22466,4273
2025-10,Area_12,T152,Display,P_10,339977,197017,1.73,192672,0.5667,1635,37773.25,0.00481,23.10,111.11,6077,1583
2025-11,Area_12,T152,Display,P_11,1779771,622963,2.86,1176352,0.6610,906,234602.24,0.00051,258.94,131.82,8736,1183
2025-12,Area_12,T152,Display,P_12,1544947,565651,2.73,1027271,0.6649,3208,309768.55,0.00208,96.56,200.50,17776,3316
2025-01,Area_1,T009,Display,P_01,1323886,529640,2.50,795152,0.6006,3580,187335.55,0.00270,52.33,141.50,30814,4668
2025-02,Area_1,T009,Display,P_02,109612,62858,1.74,87220,0.7957,552,8837.59,0.00504,16.01,80.63,4487,539
2025-03,Area_1,T009,Display,P_03,430952,112951,3.82,301422,0.6994,2104,16282.44,0.00488,7.74,37.78,13163,3131
2025-04,Area_1,T009,Display,P_04,1530928,414060,3.70,863926,0.5643,7802,342565.99,0.00510,43.91,223.76,73770,10717
2025-05,Area_1,T009,Display,P_05,1244421,510426,2.44,1036178,0.8327,3757,69277.60,0.00302,18.44,55.67,22154,3912
2025-06,Area_1,T009,Display,P_06,140932,81511,1.73,109331,0.7758,352,13770.19,0.00250,39.12,97.71,2365,328
2025-07,Area_1,T009,Display,P_07,1782780,964265,1.85,1483854,0.8323,4963,292021.74,0.00278,58.84,163.80,39975,5935
2025-08,Area_1,T009,Display,P_08,953051,596471,1.60,757873,0.7952,5188,211749.53,0.00544,40.82,222.18,21870,5655
2025-09,Area_1,T009,Display,P_09,835734,345535,2.42,694429,0.8309,2956,87157.18,0.00354,29.48,104.29,23432,2884
2025-10,Area_1,T009,Display,P_10,795259,287789,2.76,450281,0.5662,3854,69685.48,0.00485,18.08,87.63,13029,3848
2025-11,Area_1,T009,Display,P_11,813125,287993,2.82,598944,0.7366,1044,241229.74,0.00128,231.06,296.67,7917,1295
2025-12,Area_1,T009,Display,P_12,868707,546705,1.59,734478,0.8455,1382,86433.04,0.00159,62.54,99.50,6826,1351
2025-01,Area_2,T024,Display,P_01,341924,95887,3.57,200200,0.5855,1234,89742.09,0.00361,72.72,262.46,9967,1222
2025-02,Area_2,T024,Display,P_02,1079734,282551,3.82,720144,0.6670,1414,109087.28,0.00131,77.15,101.03,13197,1982
2025-03,Area_2,T024,Display,P_03,1583489,525253,3.01,999996,0.6315,5328,390406.88,0.00336,73.27,246.55,49019,5938
2025-04,Area_2,T024,Display,P_04,1157145,294143,3.93,976106,0.8435,2058,172106.33,0.00178,83.63,148.73,14967,2643
2025-05,Area_2,T024,Display,P_05,339621,134373,2.53,251184,0.7396,569,22664.61,0.00168,39.83,66.74,2342,648
2025-06,Area_2,T024,Display,P_06,1615567,579526,2.79,1321287,0.8178,1698,119244.38,0.00105,70.23,73.81,7904,1371
2025-07,Area_2,T024,Display,P_07,1221475,544027,2.25,819892,0.6712,3628,267828.15,0.00297,73.82,219.27,14388,3513
2025-08,Area_2,T024,Display,P_08,374761,108656,3.45,217952,0.5816,1070,42232.32,0.00286,39.47,112.69,8770,969
2025-09,Area_2,T024,Display,P_09,377515,147814,2.55,283986,0.7523,1193,27220.49,0.00316,22.82,72.10,4564,1711
2025-10,Area_2,T024,Display,P_10,1612756,569691,2.83,1150558,0.7134,5934,303143.73,0.00368,51.09,187.97,27146,5226
2025-11,Area_2,T024,Display,P_11,1829407,670445,2.73,1116230,0.6102,3797,232718.08,0.00208,61.29,127.21,25075,4878
2025-12,Area_2,T024,Display,P_12,1172650,331490,3.54,945255,0.8061,4839,290259.63,0.00413,59.98,247.52,22590,6764
2025-01,Area_5,T060,Display,P_01,567324,339250,1.67,348595,0.6145,3077,94072.21,0.00542,30.57,165.82,11210,2994
2025-02,Area_5,T060,Display,P_02,182269,95489,1.91,146706,0.8049,1041,27304.39,0.00571,26.23,149.80,5449,1042
2025-03,Area_5,T060,Display,P_03,1711483,428113,4.00,1116452,0.6523,1511,127556.33,0.00088,84.42,74.53,5401,1862
2025-04,Area_5,T060,Display,P_04,134341,39412,3.41,82500,0.6141,438,40253.06,0.00326,91.90,299.63,4250,410
2025-05,Area_5,T060,Display,P_05,671063,432878,1.55,562309,0.8379,3639,73555.58,0.00542,20.21,109.61,12837,3755
2025-06,Area_5,T060,Display,P_06,1877694,653377,2.87,1578978,0.8409,3050,414858.47,0.00162,136.02,220.94,11748,4369
2025-07,Area_5,T060,Display,P_07,1924086,932385,2.06,1624708,0.8444,8150,540098.67,0.00424,66.27,280.70,81153,8914
2025-08,Area_5,T060,Display,P_08,804957,454734,1.77,605695,0.7525,4704,196162.98,0.00584,41.70,243.69,39823,5602
2025-09,Area_5,T060,Display,P_09,1750836,680448,2.57,1266906,0.7236,2338,131113.04,0.00134,56.08,74.89,17404,1945
2025-10,Area_5,T060,Display,P_10,548829,291665,1.88,336738,0.6136,2197,41560.98,0.00400,18.92,75.73,13438,3138
2025-11,Area_5,T060,Display,P_11,446591,183521,2.43,370203,0.8290,1088,17825.57,0.00244,16.38,39.91,10838,1247
2025-12,Area_5,T060,Display,P_12,1863554,780953,2.39,1172639,0.6292,5953,238684.24,0.00319,40.09,128.08,27906,5456
2025-01,Area_11,T144,Display,P_01,697517,398887,1.75,439123,0.6296,3906,97781.90,0.00560,25.03,140.19,15224,5574
2025-02,Area_11,T144,Display,P_02,983463,394292,2.49,561440,0.5709,2335,181260.19,0.00237,77.63,184.31,20732,3348
2025-03,Area_11,T144,Display,P_03,979426,342195,2.86,570091,0.5821,5127,107907.59,0.00523,21.05,110.17,17491,4135
2025-04,Area_11,T144,Display,P_04,768932,294161,2.61,531157,0.6908,2507,70129.56,0.00326,27.97,91.20,20550,2583
2025-05,Area_11,T144,Display,P_05,1865877,582803,3.20,1070903,0.5739,11057,273924.00,0.00593,24.77,146.81,33880,16455
2025-06,Area_11,T144,Display,P_06,1398400,709745,1.97,1002486,0.7169,3444,59050.07,0.00246,17.15,42.23,34347,3398
2025-07,Area_11,T144,Display,P_07,1377767,478449,2.88,1108946,0.8049,2347,266858.42,0.00170,113.70,193.69,10371,2691
2025-08,Area_11,T144,Display,P_08,1714589,1064615,1.61,1200109,0.6999,5299,243046.63,0.00309,45.87,141.75,50525,4674
2025-09,Area_11,T144,Display,P_09,167707,44616,3.76,104343,0.6222,865,9284.23,0.00516,10.73,55.36,7398,849
2025-10,Area_11,T144,Display,P_10,1932522,492414,3.92,1339161,0.6930,11520,103354.49,0.00596,8.97,53.48,86771,16348
2025-11,Area_11,T144,Display,P_11,1265119,476457,2.66,941442,0.7442,858,101172.02,0.00068,117.92,79.97,4408,1184
2025-12,Area_11,T144,Display,P_12,261188,94478,2.76,151159,0.5787,562,64234.34,0.00215,114.30,245.93,3374,716
2025-01,Area_14,T184,Display,P_01,1173587,298028,3.94,692946,0.5905,4019,137115.62,0.00342,34.12,116.83,18860,5713
2025-02,Area_14,T184,Display,P_02,308552,143028,2.16,211879,0.6867,608,67877.76,0.00197,111.64,219.99,2316,895
2025-03,Area_14,T184,Display,P_03,102225,28444,3.59,81264,0.7950,278,16639.66,0.00272,59.85,162.77,2043,286
2025-04,Area_14,T184,Display,P_04,1948542,1157187,1.68,1369731,0.7030,5974,389766.83,0.00307,65.24,200.03,54981,7669
2025-05,Area_14,T184,Display,P_05,1014098,316314,3.21,773569,0.7628,661,151799.44,0.00065,229.65,149.69,4000,764
2025-06,Area_14,T184,Display,P_06,1699982,534959,3.18,1138730,0.6698,7170,65189.18,0.00422,9.09,38.35,50622,7610
2025-07,Area_14,T184,Display,P_07,376399,186414,2.02,279071,0.7414,1278,68174.26,0.00340,53.34,181.12,4189,1812
2025-08,Area_14,T184,Display,P_08,1684058,948345,1.78,1369543,0.8132,3229,332876.69,0.00192,103.09,197.66,32013,4626
2025-09,Area_14,T184,Display,P_09,1130904,745984,1.52,647868,0.5729,6319,336011.35,0.00559,53.17,297.12,53113,6912
2025-10,Area_14,T184,Display,P_10,1180907,346022,3.41,926193,0.7843,6228,159633.48,0.00527,25.63,135.18,38896,9118
2025-11,Area_14,T184,Display,P_11,511540,325191,1.57,369069,0.7215,2673,147119.14,0.00523,55.04,287.60,24916,2982
2025-12,Area_14,T184,Display,P_12,1785317,685559,2.60,1354152,0.7585,6073,498831.92,0.00340,82.14,279.41,27923,6268
2025-01,Area_5,T057,Display,P_01,1186285,322655,3.68,927412,0.7818,2184,339015.14,0.00184,155.23,285.78,8042,1766
2025-02,Area_5,T057,Display,P_02,477863,191966,2.49,304082,0.6363,921,15753.21,0.00193,17.10,32.97,3746,1200
2025-03,Area_5,T057,Display,P_03,155743,98345,1.58,108866,0.6990,851,20271.38,0.00546,23.82,130.16,7028,1112
2025-04,Area_5,T057,Display,P_04,1052469,516173,2.04,757813,0.7200,541,127527.50,0.00051,235.73,121.17,3351,742
2025-05,Area_5,T057,Display,P_05,846744,477307,1.77,580938,0.6861,3853,170513.68,0.00455,44.25,201.38,20984,4078
2025-06,Area_5,T057,Display,P_06,1587380,509314,3.12,1311549,0.8262,8849,245508.74,0.00557,27.74,154.66,71751,11154
2025-07,Area_5,T057,Display,P_07,1131565,670195,1.69,638776,0.5645,5639,48242.90,0.00498,8.56,42.63,52127,7534
2025-08,Area_5,T057,Display,P_08,426537,180506,2.36,274382,0.6433,224,82006.21,0.00053,366.10,192.26,1956,193
2025-09,Area_5,T057,Display,P_09,391848,112266,3.49,288234,0.7356,1399,56865.74,0.00357,40.65,145.12,12610,1483
2025-10,Area_5,T057,Display,P_10,244826,68485,3.57,164268,0.6710,1416,34565.38,0.00578,24.41,141.18,11403,1341
2025-11,Area_5,T057,Display,P_11,925951,480204,1.93,565171,0.6104,5082,53058.50,0.00549,10.44,57.30,48098,7192
2025-12,Area_5,T057,Display,P_12,940307,325613,2.89,710105,0.7552,3288,32063.33,0.00350,9.75,34.10,30402,4552
2025-01,Area_12,T151,Display,P_01,971488,254311,3.82,638664,0.6574,1572,285561.51,0.00162,181.65,293.94,14350,1596
2025-02,Area_12,T151,Display,P_02,1212548,501993,2.42,1023530,0.8441,5132,184746.07,0.00423,36.00,152.36,38556,7077
2025-03,Area_12,T151,Display,P_03,521915,183990,2.84,378514,0.7252,1981,125109.70,0.00380,63.15,239.71,9710,2495
2025-04,Area_12,T151,Display,P_04,1215334,566665,2.14,721871,0.5940,6005,224745.64,0.00494,37.43,184.92,18212,5431
2025-05,Area_12,T151,Display,P_05,794871,492649,1.61,504770,0.6350,1962,156419.80,0.00247,79.72,196.79,19298,1994
2025-06,Area_12,T151,Display,P_06,1231781,405404,3.04,679784,0.5519,5611,304707.35,0.00456,54.31,247.37,48297,5989
2025-07,Area_12,T151,Display,P_07,1794095,599021,3.00,1272145,0.7091,1683,407821.07,0.00094,242.32,227.31,12409,1353
2025-08,Area_12,T151,Display,P_08,188973,73276,2.58,159703,0.8451,199,31467.89,0.00105,158.13,166.52,659,229
2025-09,Area_12,T151,Display,P_09,1354363,353224,3.83,1028135,0.7591,7285,221916.27,0.00538,30.46,163.85,34897,6620
2025-10,Area_12,T151,Display,P_10,1771224,707291,2.50,1405581,0.7936,3012,150434.33,0.00170,49.94,84.93,24033,4153
2025-11,Area_12,T151,Display,P_11,1348197,671534,2.01,759809,0.5636,818,233689.59,0.00061,285.68,173.33,5967,942
2025-12,Area_12,T151,Display,P_12,1922656,1016767,1.89,1573183,0.8182,2154,255604.13,0.00112,118.66,132.94,13905,2388
2025-01,Area_1,T002,Display,P_01,864172,246671,3.50,475576,0.5503,2569,71475.51,0.00297,27.82,82.71,17814,3807
2025-02,Area_1,T002,Display,P_02,759406,310651,2.44,582910,0.7676,788,105065.78,0.00104,133.33,138.35,4421,1077
2025-03,Area_1,T002,Display,P_03,1359979,354792,3.83,970906,0.7139,1884,191263.41,0.00139,101.52,140.64,15924,1731
2025-04,Area_1,T002,Display,P_04,1297955,344663,3.77,989127,0.7621,4596,81004.14,0.00354,17.62,62.41,44872,6307
2025-05,Area_1,T002,Display,P_05,1826581,982445,1.86,1218072,0.6669,6748,367519.26,0.00369,54.46,201.21,31720,9931
2025-06,Area_1,T002,Display,P_06,1810862,524703,3.45,1216243,0.6716,6458,287324.26,0.00357,44.49,158.67,44306,6824
2025-07,Area_1,T002,Display,P_07,376578,240497,1.57,264993,0.7037,2121,60071.49,0.00563,28.32,159.52,7918,1979
2025-08,Area_1,T002,Display,P_08,1726982,455321,3.79,1352535,0.7832,3974,162248.65,0.00230,40.83,93.95,12918,4121
2025-09,Area_1,T002,Display,P_09,767459,457773,1.68,576144,0.7507,2029,160365.59,0.00264,79.04,208.96,6385,2151
2025-10,Area_1,T002,Display,P_10,1821312,529561,3.44,1530539,0.8403,10739,362220.92,0.00590,33.73,198.88,46797,13060
2025-11,Area_1,T002,Display,P_11,602003,267773,2.25,401835,0.6675,1701,68633.90,0.00283,40.35,114.01,13541,1893
2025-12,Area_1,T002,Display,P_12,952805,271308,3.51,731043,0.7673,2335,164310.50,0.00245,70.37,172.45,20370,2800
2025-01,Area_14,T179,Display,P_01,1795496,586261,3.06,1476801,0.8225,7191,526919.58,0.00401,73.27,293.47,49216,10037
2025-02,Area_14,T179,Display,P_02,1639045,649864,2.52,1239076,0.7560,5888,136740.83,0.00359,23.22,83.43,39368,7251
2025-03,Area_14,T179,Display,P_03,442549,127695,3.47,350099,0.7911,1657,114173.01,0.00374,68.90,257.99,10854,2393
2025-04,Area_14,T179,Display,P_04,1778101,1111103,1.60,1488300,0.8370,2348,408629.02,0.00132,174.03,229.81,13801,2465
2025-05,Area_14,T179,Display,P_05,264904,125088,2.12,169705,0.6406,1107,78455.06,0.00418,70.87,296.16,6661,1441
2025-06,Area_14,T179,Display,P_06,1928166,513983,3.75,1069000,0.5544,5359,89963.12,0.00278,16.79,46.66,40090,5071
2025-07,Area_14,T179,Display,P_07,1522754,400112,3.81,1080297,0.7094,977,383153.94,0.00064,392.17,251.62,9015,1110
2025-08,Area_14,T179,Display,P_08,1729114,553140,3.13,1039403,0.6011,7541,254857.55,0.00436,33.80,147.39,30535,9118
2025-09,Area_14,T179,Display,P_09,1904361,527601,3.61,1525755,0.8012,3775,235056.27,0.00198,62.27,123.43,35466,4101
2025-10,Area_14,T179,Display,P_10,1686447,889480,1.90,992805,0.5887,4568,283283.82,0.00271,62.01,167.98,37407,5659
2025-11,Area_14,T179,Display,P_11,457127,266207,1.72,283262,0.6197,710,74474.46,0.00155,104.89,162.92,6454,688
2025-12,Area_14,T179,Display,P_12,1084422,290936,3.73,676601,0.6239,2210,73806.52,0.00204,33.40,68.06,17095,2961
2025-01,Area_7,T088,Display,P_01,707534,177492,3.99,393349,0.5559,3239,21576.24,0.00458,6.66,30.49,20565,3725
2025-02,Area_7,T088,Display,P_02,833089,236800,3.52,516634,0.6201,1483,163696.66,0.00178,110.38,196.49,8753,2223
2025-03,Area_7,T088,Display,P_03,1923561,505750,3.80,1614048,0.8391,3733,285242.11,0.00194,76.41,148.29,29925,4682
2025-04,Area_7,T088,Display,P_04,1852769,639847,2.90,1192905,0.6439,6104,205816.63,0.00329,33.72,111.09,52369,6806
2025-05,Area_7,T088,Display,P_05,1442439,499733,2.89,1096788,0.7604,7372,48366.32,0.00511,6.56,33.53,36710,10989
2025-06,Area_7,T088,Display,P_06,587944,319623,1.84,425578,0.7238,2712,99513.74,0.00461,36.69,169.26,17874,2563
2025-07,Area_7,T088,Display,P_07,922842,246381,3.75,520109,0.5636,3035,213702.48,0.00329,70.41,231.57,29390,4525
2025-08,Area_7,T088,Display,P_08,452583,201830,2.24,290824,0.6426,1762,47587.14,0.00389,27.01,105.15,10598,1689
2025-09,Area_7,T088,Display,P_09,1962703,1088237,1.80,1477289,0.7527,8549,518762.61,0.00436,60.68,264.31,28023,10547
2025-10,Area_7,T088,Display,P_10,228934,96667,2.37,147752,0.6454,221,53718.10,0.00097,243.07,234.64,1448,242
2025-11,Area_7,T088,Display,P_11,481376,273274,1.76,309132,0.6422,2262,24654.06,0.00470,10.90,51.22,8498,2690
2025-12,Area_7,T088,Display,P_12,378072,111809,3.38,236284,0.6250,730,62328.77,0.00193,85.38,164.86,3319,1087
2025-01,Area_3,T040,Display,P_01,1513569,499136,3.03,901683,0.5957,8010,370902.69,0.00529,46.30,245.05,44860,7768
2025-02,Area_3,T040,Display,P_02,1794390,988089,1.82,1472497,0.8206,8714,77682.79,0.00486,8.91,43.29,35504,8953
2025-03,Area_3,T040,Display,P_03,1688273,804928,2.10,1222475,0.7241,9492,409499.64,0.00562,43.14,242.56,36512,8432
2025-04,Area_3,T040,Display,P_04,1794212,882823,2.03,1208685,0.6737,7197,147390.89,0.00401,20.48,82.15,34242,6422
2025-05,Area_3,T040,Display,P_05,1621093,979316,1.66,1016180,0.6268,8417,484902.53,0.00519,57.61,299.12,65380,11403
2025-06,Area_3,T040,Display,P_06,1343633,774235,1.74,923121,0.6870,2923,315276.15,0.00218,107.86,234.64,23777,4029
2025-07,Area_3,T040,Display,P_07,718781,255460,2.81,406992,0.5662,2403,171853.66,0.00334,71.52,239.09,11176,3015
2025-08,Area_3,T040,Display,P_08,715535,205648,3.48,552624,0.7723,2021,145623.44,0.00282,72.06,203.52,9258,1724
2025-09,Area_3,T040,Display,P_09,564808,148325,3.81,442128,0.7828,3286,108383.64,0.00582,32.98,191.89,11691,4621
2025-10,Area_3,T040,Display,P_10,1814551,547789,3.31,1419418,0.7822,3448,187984.58,0.00190,54.52,103.60,19586,4464
2025-11,Area_3,T040,Display,P_11,1203101,486326,2.47,811966,0.6749,1502,325064.80,0.00125,216.42,270.19,8539,1662
2025-12,Area_3,T040,Display,P_12,1209610,449590,2.69,899910,0.7440,3961,101771.08,0.00327,25.69,84.14,20966,4415
2025-01,Area_15,T196,Display,P_01,476516,180882,2.63,322759,0.6773,2102,101762.84,0.00441,48.41,213.56,16277,2797
2025-02,Area_15,T196,Display,P_02,1698126,554319,3.06,1011255,0.5955,4877,349321.99,0.00287,71.63,205.71,31593,4581
2025-03,Area_15,T196,Display,P_03,348344,105643,3.30,264467,0.7592,1190,34435.98,0.00342,28.94,98.86,4516,1597
2025-04,Area_15,T196,Display,P_04,1384837,561307,2.47,998364,0.7209,2051,186254.33,0.00148,90.81,134.50,7062,2067
