MONTH,AREA,TERRITORY,SOURCE,SESSIONS,ENGAGED_SESSIONS,PAGEVIEWS,EVENT_CLICKS,EVENT_FORM_SUBMIT,EVENT_DOWNLOADS,EVENT_REGISTRATIONS,SCROLL_25,SCROLL_50,SCROLL_75,SCROLL_100
2025-05,Area_13,T164,Paid Search,38367,21396,85910,5348,524,1414,635,28140,20287,15645,11656
2025-05,Area_13,T164,Organic Search,15109,10372,45257,2512,492,288,257,10493,7424,5510,4384
2025-05,Area_13,T164,Direct,12202,7289,50967,2139,170,358,155,10081,8150,5822,4474
2025-05,Area_13,T164,Referral,13099,9178,40018,2096,161,361,256,10327,8706,5753,4129
2025-05,Area_13,T164,Display,22163,12903,44526,2287,757,595,456,17896,14072,9076,6218
2025-06,Area_13,T164,Paid Search,36981,29175,100433,2736,810,1367,337,30818,22403,18826,12407
2025-06,Area_13,T164,Organic Search,14115,9680,51544,2164,290,514,166,9638,8370,7094,5019
2025-06,Area_13,T164,Direct,14913,7065,50888,2899,723,324,413,10004,8400,5536,2788
2025-06,Area_13,T164,Referral,16336,9577,50922,3001,701,462,244,13891,12138,9928,7101
2025-06,Area_13,T164,Display,29030,16097,85863,3650,1257,497,627,20676,17679,11472,7376
2025-07,Area_13,T164,Paid Search,23571,12355,101485,2295,1077,606,140,19750,14030,11318,5688
2025-07,Area_13,T164,Organic Search,38673,27900,113395,4536,1250,434,912,30977,23260,19245,13948
2025-07,Area_13,T164,Direct,20442,15441,61973,2452,939,385,414,14973,10664,8942,5603
2025-07,Area_13,T164,Referral,21533,13436,42688,3447,911,666,627,14574,10889,6934,4589
2025-07,Area_13,T164,Display,20212,11874,81391,3208,260,329,424,18167,13015,9105,4566
2025-08,Area_13,T164,Paid Search,26558,14420,119420,1580,883,1031,757,16712,14999,12703,8188
2025-08,Area_13,T164,Organic Search,14340,10041,39743,2249,301,542,265,9643,7593,6254,4641
2025-08,Area_13,T164,Direct,12319,5669,54913,776,429,150,185,9253,6540,4834,3803
2025-08,Area_13,T164,Referral,14855,11626,66482,1369,262,365,281,11839,8542,6505,5050
2025-08,Area_13,T164,Display,13301,10322,28936,899,506,277,359,9822,7756,5081,3687
2025-09,Area_13,T164,Paid Search,7037,4088,29659,1219,109,122,100,4679,3802,2493,1676
2025-09,Area_13,T164,Organic Search,22311,10330,49818,2749,1070,578,299,19684,15413,12708,6602
2025-09,Area_13,T164,Direct,7764,5327,17860,1452,129,150,65,6650,5808,3755,2716
2025-09,Area_13,T164,Referral,23962,15012,62318,1517,618,292,259,20119,16844,13047,6834
2025-09,Area_13,T164,Display,37292,26936,83779,5739,463,961,1059,23693,20359,13042,6755
2025-10,Area_13,T164,Paid Search,12536,6835,40751,1990,383,433,98,9791,8791,5602,3632
2025-10,Area_13,T164,Organic Search,15195,8899,64456,2992,193,185,287,10251,9083,6809,4678
2025-10,Area_13,T164,Direct,28463,17555,46059,2777,690,1101,794,22067,19566,15964,9781
2025-10,Area_13,T164,Referral,37379,16820,70470,2159,1279,825,500,28350,22305,15987,10065
2025-10,Area_13,T164,Display,3069,2007,6689,265,94,51,17,2180,1852,1239,940
2025-11,Area_13,T164,Paid Search,14839,11837,44019,1744,652,489,221,13033,9809,8165,5888
2025-11,Area_13,T164,Organic Search,35097,17141,83600,3798,1629,810,284,23925,16778,10184,6408
2025-11,Area_13,T164,Direct,33627,18074,88764,2202,1222,732,303,25193,18685,12575,6755
2025-11,Area_13,T164,Referral,30447,16677,132962,3373,493,948,710,26318,19114,15242,11552
2025-11,Area_13,T164,Display,14104,8590,47374,1224,632,436,372,10366,8332,5403,3210
2025-12,Area_13,T164,Paid Search,22226,14662,41340,2517,426,667,344,19285,14515,10808,5720
2025-12,Area_13,T164,Organic Search,34272,17390,52921,4318,829,643,833,27590,19776,14575,10776
2025-12,Area_13,T164,Direct,6751,5337,18472,835,227,173,165,5596,4064,2722,1486
2025-12,Area_13,T164,Referral,20433,13739,44498,3565,930,371,486,13912,9873,7723,4749
2025-12,Area_13,T164,Display,3880,2275,6455,606,48,45,109,3266,2451,1679,1255
2025-01,Area_1,T007,Paid Search,16124,8178,51024,1549,792,538,95,10305,7537,5183,2625
2025-01,Area_1,T007,Organic Search,2851,1854,6390,521,107,42,25,1763,1435,928,615
2025-01,Area_1,T007,Direct,9890,7493,18287,987,264,212,153,7298,6212,4201,2533
2025-01,Area_1,T007,Referral,7156,4974,28538,1418,314,117,129,5863,5054,3628,1906
2025-01,Area_1,T007,Display,28454,19077,76391,4774,1134,1071,639,24865,18821,12886,6671
2025-02,Area_1,T007,Paid Search,36398,28169,83511,3587,573,402,791,23571,19487,12217,7524
2025-02,Area_1,T007,Organic Search,3300,1551,14747,430,72,115,27,2298,2039,1345,968
2025-02,Area_1,T007,Direct,31487,20037,109396,2564,727,834,621,20348,15915,13526,8071
2025-02,Area_1,T007,Referral,8213,4018,30145,1571,170,259,200,6210,5012,4138,2562
2025-02,Area_1,T007,Display,39818,29447,121840,3540,673,1311,832,24735,20220,12357,7628
2025-03,Area_1,T007,Paid Search,39463,26738,77882,2238,1303,1363,983,27935,22777,17758,13530
2025-03,Area_1,T007,Organic Search,20737,12286,47261,2217,420,569,331,13908,12189,7461,5364
2025-03,Area_1,T007,Direct,15334,9216,31651,2199,565,446,361,11308,9843,7311,5589
2025-03,Area_1,T007,Referral,12585,8747,26307,786,594,265,77,9885,8764,6943,5527
2025-03,Area_1,T007,Display,28232,17205,62159,1687,589,817,784,16953,14638,11580,8190
2025-04,Area_1,T007,Paid Search,38566,21560,169603,3716,566,474,893,25684,20037,16037,12060
2025-04,Area_1,T007,Organic Search,27203,16381,103252,3075,1101,716,697,19676,16046,13250,7977
2025-04,Area_1,T007,Direct,15788,7123,50778,2775,299,384,467,11336,10062,8116,5262
2025-04,Area_1,T007,Referral,16813,10209,55725,955,463,444,128,10703,8647,5798,3960
2025-04,Area_1,T007,Display,25174,16910,86911,2201,513,949,491,19976,15464,10492,7665
2025-05,Area_1,T007,Paid Search,27921,18127,53767,3957,1367,508,475,17737,14253,12013,7961
2025-05,Area_1,T007,Organic Search,4032,3015,14706,414,147,131,39,2724,2183,1520,1032
2025-05,Area_1,T007,Direct,14994,8093,29078,1330,553,195,244,10055,8135,5162,3779
2025-05,Area_1,T007,Referral,36997,22515,124534,6196,457,1288,528,25145,19700,12219,9716
2025-05,Area_1,T007,Display,36629,23496,75462,3401,1234,973,917,29833,22154,15493,11362
2025-06,Area_1,T007,Paid Search,17060,9107,30157,2243,846,571,300,12332,10897,8277,6385
2025-06,Area_1,T007,Organic Search,10906,5522,31926,1202,299,187,264,7205,5099,3951,2855
2025-06,Area_1,T007,Direct,23826,13190,81501,2459,700,310,312,21375,15682,10600,5859
2025-06,Area_1,T007,Referral,9265,5371,37865,1232,270,162,136,5693,4121,3245,1709
2025-06,Area_1,T007,Display,30798,24443,124557,4709,768,393,380,25325,19863,15904,8981
2025-07,Area_1,T007,Paid Search,3744,1723,11709,451,146,127,102,2466,2153,1712,1164
2025-07,Area_1,T007,Organic Search,20140,11496,84267,4020,283,672,380,12111,9971,6680,4042
2025-07,Area_1,T007,Direct,11167,5718,20711,1081,432,435,254,6766,5124,3227,2575
2025-07,Area_1,T007,Referral,7888,5808,18551,867,116,197,227,5362,4601,2949,2258
2025-07,Area_1,T007,Display,18769,9272,72224,3437,296,253,211,14160,12602,10272,6136
2025-08,Area_1,T007,Paid Search,22333,16462,79332,4385,726,407,447,15617,13112,10833,6156
2025-08,Area_1,T007,Organic Search,37387,18491,66301,5385,1520,1222,591,32712,23885,16967,10363
2025-08,Area_1,T007,Direct,12379,9831,29788,1546,577,236,175,9518,6792,4114,2837
2025-08,Area_1,T007,Referral,7061,5263,31012,379,94,224,176,6295,4748,3753,2315
2025-08,Area_1,T007,Display,37059,24790,85004,6907,1591,511,1030,26948,21267,17738,10030
2025-09,Area_1,T007,Paid Search,21121,16679,65516,2041,964,478,394,16736,14580,9511,7248
2025-09,Area_1,T007,Organic Search,7222,4764,26072,1029,358,267,104,4416,3224,2203,1339
2025-09,Area_1,T007,Direct,23776,15583,36131,1857,319,415,227,15152,10998,7619,4103
2025-09,Area_1,T007,Referral,18476,12935,29844,1375,760,355,400,11091,8332,5052,3996
2025-09,Area_1,T007,Display,31554,16892,53472,5455,1022,588,256,21662,18446,12062,6219
2025-10,Area_1,T007,Paid Search,14344,8988,33621,1688,570,530,377,11969,8957,6190,4565
2025-10,Area_1,T007,Organic Search,12000,6628,50592,1594,227,343,261,9783,8748,7246,4521
2025-10,Area_1,T007,Direct,10234,7081,39201,1769,235,266,298,8399,6582,4348,2272
2025-10,Area_1,T007,Referral,15104,11066,33445,1223,461,199,335,13299,11467,9406,4908
2025-10,Area_1,T007,Display,35722,23808,159122,5637,1272,1330,756,27418,22241,18012,11307
2025-11,Area_1,T007,Paid Search,5810,2628,22643,748,67,173,131,4705,3948,3038,2218
2025-11,Area_1,T007,Organic Search,28532,16058,59183,3118,463,466,440,17752,15596,11252,6916
2025-11,Area_1,T007,Direct,28606,20177,65306,4951,1171,1025,683,22940,18600,15147,8600
2025-11,Area_1,T007,Referral,7063,5563,27348,429,82,201,168,5737,4911,3149,1593
2025-11,Area_1,T007,Display,17455,8474,37668,936,290,206,392,14143,11154,9148,4975
2025-12,Area_1,T007,Paid Search,24244,14715,79106,2225,978,289,316,17810,15846,10039,5458
2025-12,Area_1,T007,Organic Search,36135,24271,119105,4657,438,710,1070,31905,27567,16979,8863
2025-12,Area_1,T007,Direct,26105,13705,50619,2852,1216,421,362,22463,19654,14813,10763
2025-12,Area_1,T007,Referral,9732,4750,35471,1369,177,173,228,5902,5259,3214,1762
2025-12,Area_1,T007,Display,5820,2851,26149,669,74,87,107,5011,3765,2634,1766
2025-01,Area_5,T063,Paid Search,14971,10526,37042,1580,672,556,231,13458,9892,7971,6159
2025-01,Area_5,T063,Organic Search,39232,24316,126845,2097,505,1189,1147,34599,26042,21167,14506
2025-01,Area_5,T063,Direct,4380,3261,17320,301,145,101,115,2977,2181,1481,1170
2025-01,Area_5,T063,Referral,13891,7912,31749,1969,274,543,156,12454,9119,7636,3961
2025-01,Area_5,T063,Display,25339,12267,91765,2151,532,765,145,19310,15063,9645,7460
2025-02,Area_5,T063,Paid Search,16840,8835,25340,1250,691,286,275,13516,11894,8433,5980
2025-02,Area_5,T063,Organic Search,9122,5773,15863,1153,403,236,135,5543,4657,3251,1940
2025-02,Area_5,T063,Direct,19589,11299,87488,3621,924,542,346,12169,10239,7548,5946
2025-02,Area_5,T063,Referral,34418,20186,96669,3755,434,1080,697,27099,19447,12897,7513
2025-02,Area_5,T063,Display,37441,26030,83540,4921,1463,588,1017,28659,21721,16696,12774
2025-03,Area_5,T063,Paid Search,23087,17952,37052,3496,627,793,500,19480,17000,13516,7294
2025-03,Area_5,T063,Organic Search,31096,24824,63963,2784,878,1017,201,21711,18907,13696,8521
2025-03,Area_5,T063,Direct,22424,11080,54970,1609,1023,745,470,16952,15180,10089,7179
2025-03,Area_5,T063,Referral,7611,3785,26922,871,185,255,136,5634,4946,3427,2401
2025-03,Area_5,T063,Display,32999,20454,86778,3482,1567,1023,217,28121,24517,15200,9440
2025-04,Area_5,T063,Paid Search,19811,9959,71496,3485,310,769,570,13781,12279,10248,5482
2025-04,Area_5,T063,Organic Search,14024,9282,50187,1078,457,311,72,10749,9274,5723,3447
2025-04,Area_5,T063,Direct,25044,12788,87180,4179,591,322,204,16265,13657,11604,8650
2025-04,Area_5,T063,Referral,16116,10062,66824,2843,470,550,398,12832,9343,6153,3591
2025-04,Area_5,T063,Display,37013,29293,114761,4884,1279,977,565,24939,20132,13317,9293
2025-05,Area_5,T063,Paid Search,14883,10865,57437,1220,168,239,286,9487,6830,5801,3517
2025-05,Area_5,T063,Organic Search,2029,1276,7288,241,30,51,13,1662,1475,900,604
2025-05,Area_5,T063,Direct,22145,13264,97898,3699,369,578,498,19229,17132,14066,10206
2025-05,Area_5,T063,Referral,6136,3860,11364,681,303,96,161,4577,3296,2750,1424
2025-05,Area_5,T063,Display,20480,16345,52227,2151,453,327,460,12363,8751,5660,4111
2025-06,Area_5,T063,Paid Search,27013,18637,45894,2361,876,960,292,23477,21012,13074,9376
2025-06,Area_5,T063,Organic Search,39503,28464,110256,5658,1674,983,343,25399,21767,14828,10144
2025-06,Area_5,T063,Direct,23075,15255,62685,4239,496,319,124,15024,10800,8938,6292
2025-06,Area_5,T063,Referral,4770,2271,12681,250,166,166,36,4204,3127,2531,1360
2025-06,Area_5,T063,Display,25172,18499,59274,3402,922,402,686,18693,14480,9115,5892
2025-07,Area_5,T063,Paid Search,37814,28656,66906,7022,1278,1338,825,30387,26587,21023,13089
2025-07,Area_5,T063,Organic Search,36820,24220,103163,5645,439,429,340,27424,21008,13468,9761
2025-07,Area_5,T063,Direct,24904,14703,68484,3885,1100,908,472,21186,15998,12361,9297
2025-07,Area_5,T063,Referral,7791,3818,28204,1500,218,311,101,6732,4714,3629,2778
2025-07,Area_5,T063,Display,15512,11582,51164,1520,181,463,223,11837,8756,5295,2801
2025-08,Area_5,T063,Paid Search,16450,13125,37375,1954,370,184,375,14363,11521,9109,6613
2025-08,Area_5,T063,Organic Search,13624,9790,58374,1625,319,468,148,9509,8325,5053,2711
2025-08,Area_5,T063,Direct,8555,6056,21704,696,161,285,232,6625,5859,4331,2317
2025-08,Area_5,T063,Referral,20320,11296,45531,2274,645,209,483,16511,12299,8143,4497
2025-08,Area_5,T063,Display,3784,2484,11628,497,166,65,101,2705,2377,1803,902
2025-09,Area_5,T063,Paid Search,28351,15012,68026,5214,940,387,439,17861,12739,9440,5036
2025-09,Area_5,T063,Organic Search,17262,8206,31655,2024,287,335,274,11362,8259,5260,4115
2025-09,Area_5,T063,Direct,35338,25638,126763,6494,1106,529,717,25998,22512,14874,10458
2025-09,Area_5,T063,Referral,12100,6952,24052,2325,351,461,70,9847,8113,5945,3777
2025-09,Area_5,T063,Display,11528,7940,30969,1564,420,216,248,8673,7099,4772,3453
2025-10,Area_5,T063,Paid Search,22541,12583,69305,3407,588,353,252,18048,12901,8143,4537
2025-10,Area_5,T063,Organic Search,13146,8232,50890,1364,360,271,172,11608,9301,6760,4147
2025-10,Area_5,T063,Direct,25479,17023,71178,1735,357,335,277,15823,13326,8980,6327
2025-10,Area_5,T063,Referral,17059,11764,65116,2176,649,619,131,11654,9550,7958,4327
2025-10,Area_5,T063,Display,31713,17650,102158,6147,600,459,911,27361,19391,14446,10020
2025-11,Area_5,T063,Paid Search,16727,11458,38917,2067,590,409,232,14833,12767,8269,6081
2025-11,Area_5,T063,Organic Search,16091,12694,28984,1269,342,604,369,10284,7344,4718,3654
2025-11,Area_5,T063,Direct,7956,5037,24996,904,206,153,221,6184,5303,3758,2301
2025-11,Area_5,T063,Referral,27433,20005,73819,2357,580,669,300,22752,18962,15798,11438
2025-11,Area_5,T063,Display,13592,6328,27216,1611,557,327,406,12043,10602,8532,4987
2025-12,Area_5,T063,Paid Search,11467,8448,28327,909,366,324,174,8858,7681,5207,3467
2025-12,Area_5,T063,Organic Search,13046,6750,22669,1011,502,150,246,9800,7593,5215,3450
2025-12,Area_5,T063,Direct,12290,7820,46783,2448,260,442,128,8485,6873,4819,3217
2025-12,Area_5,T063,Referral,31010,19231,50860,4373,1433,358,424,18762,15299,9578,7492
2025-12,Area_5,T063,Display,26316,16913,43869,3853,722,823,577,18188,13171,11099,5599
2025-01,Area_3,T036,Paid Search,20596,11294,91134,3736,438,724,122,15870,13849,9060,4967
2025-01,Area_3,T036,Organic Search,38593,18556,102180,5434,657,1290,927,30399,26671,17420,10079
2025-01,Area_3,T036,Direct,24231,15272,42623,3726,1202,525,434,17266,15469,12570,9937
2025-01,Area_3,T036,Referral,13095,7342,20276,805,631,360,211,8477,7524,4588,3186
2025-01,Area_3,T036,Display,19250,9569,70667,983,562,672,474,13441,10827,8958,5312
2025-02,Area_3,T036,Paid Search,2142,1678,7583,422,87,84,46,1704,1212,875,524
2025-02,Area_3,T036,Organic Search,15705,8723,25662,937,194,488,384,13904,12459,7946,4009
2025-02,Area_3,T036,Direct,10794,6733,38334,1969,427,291,317,6673,5089,4268,2173
2025-02,Area_3,T036,Referral,33582,25141,145668,5118,1547,1079,566,20360,16350,12015,8661
2025-02,Area_3,T036,Display,27866,13433,114614,5075,725,335,214,17675,15602,10946,6995
2025-03,Area_3,T036,Paid Search,36732,17909,138539,2090,1078,1019,387,22403,18845,14575,7417
2025-03,Area_3,T036,Organic Search,36870,25494,158329,6998,791,529,1098,27765,23194,18940,11401
2025-03,Area_3,T036,Direct,15138,11641,55587,1843,249,510,183,9832,7241,5611,4356
2025-03,Area_3,T036,Referral,8704,6902,33214,891,109,195,161,6136,5292,3674,2422
2025-03,Area_3,T036,Display,27066,17951,48714,3221,771,851,268,20784,18673,11277,8062
2025-04,Area_3,T036,Paid Search,20987,15595,88667,1816,765,285,139,16604,13250,10869,6637
2025-04,Area_3,T036,Organic Search,11588,6534,27055,1812,475,316,97,9728,8032,6109,4034
2025-04,Area_3,T036,Direct,31207,15728,103183,1831,1007,918,458,25448,20228,12422,6356
2025-04,Area_3,T036,Referral,34660,21705,111436,4120,1264,891,982,29547,21779,17823,11421
2025-04,Area_3,T036,Display,13474,10471,20843,906,207,428,103,9829,7889,5747,3381
2025-05,Area_3,T036,Paid Search,16680,9598,34209,1286,517,539,497,13519,9852,7424,4137
2025-05,Area_3,T036,Organic Search,29493,19152,80098,3475,823,836,340,20544,15442,9824,6751
2025-05,Area_3,T036,Direct,35903,27571,157795,2388,1388,439,911,30633,24379,20643,13191
2025-05,Area_3,T036,Referral,25019,14989,85852,2666,382,941,579,16338,14137,11841,6919
2025-05,Area_3,T036,Display,24331,11230,74414,4660,450,325,441,14750,11359,8079,4227
2025-06,Area_3,T036,Paid Search,18416,13947,71590,1005,458,344,483,12373,9801,7642,6112
2025-06,Area_3,T036,Organic Search,13755,6612,39895,1853,242,454,94,10625,9158,6900,3459
2025-06,Area_3,T036,Direct,39406,28488,62234,7611,1086,1145,623,28149,20579,16420,12510
2025-06,Area_3,T036,Referral,23488,17054,40019,2801,538,301,456,18117,14806,10575,8414
2025-06,Area_3,T036,Display,12253,8142,21191,702,608,343,110,8544,7553,5016,3696
2025-07,Area_3,T036,Paid Search,33666,24716,80234,2181,1498,507,764,28973,24493,20511,11920
2025-07,Area_3,T036,Organic Search,38281,25739,70915,7588,1393,1163,750,28766,21254,13313,7672
2025-07,Area_3,T036,Direct,38401,21331,136756,2149,516,919,350,23128,17643,11704,5915
2025-07,Area_3,T036,Referral,30768,15531,136581,5564,1215,566,543,19271,13636,11406,7133
2025-07,Area_3,T036,Display,31957,18045,131007,2831,1575,660,789,26127,22989,18180,10587
2025-08,Area_3,T036,Paid Search,22419,14511,51990,3253,592,225,460,17929,16001,12905,6757
2025-08,Area_3,T036,Organic Search,12346,8219,47114,1926,209,165,353,8629,6181,4961,3861
2025-08,Area_3,T036,Direct,27620,18083,106649,2134,463,462,788,23675,21217,17144,11645
2025-08,Area_3,T036,Referral,38141,19037,69464,4253,982,727,432,32958,25771,17453,12846
2025-08,Area_3,T036,Display,35805,26738,138861,6749,671,848,224,27084,20931,17170,13488
2025-09,Area_3,T036,Paid Search,4444,3292,14944,710,89,145,82,2788,2411,1883,1304
2025-09,Area_3,T036,Organic Search,20843,11457,66125,2679,645,423,331,17969,15884,13094,7470
2025-09,Area_3,T036,Direct,7260,4221,11282,1023,150,96,214,5843,4733,3193,2153
2025-09,Area_3,T036,Referral,10317,5498,16123,583,193,188,230,8899,6439,5204,3244
2025-09,Area_3,T036,Display,7022,3171,27406,689,185,100,70,5053,3831,2782,1613
2025-10,Area_3,T036,Paid Search,15171,6981,45665,2126,696,477,105,10762,9167,7146,3687
2025-10,Area_3,T036,Organic Search,11332,7844,42196,1635,438,419,89,7704,5691,4161,2749
2025-10,Area_3,T036,Direct,16705,12503,29104,1793,233,329,201,13838,11989,8194,4930
2025-10,Area_3,T036,Referral,38904,22518,131519,6877,912,428,567,31528,24831,15252,10489
2025-10,Area_3,T036,Display,25660,12154,98678,1645,1242,885,758,23089,18359,13977,7961
2025-11,Area_3,T036,Paid Search,30839,23421,55371,2485,579,1128,470,26306,21343,15355,11302
2025-11,Area_3,T036,Organic Search,5309,2637,10844,266,212,90,57,4478,3134,2401,1883
2025-11,Area_3,T036,Direct,30029,18579,124571,5619,326,529,346,20966,15949,10690,6862
2025-11,Area_3,T036,Referral,16470,11035,69813,3020,622,460,345,13245,11834,7366,5348
2025-11,Area_3,T036,Display,32596,17406,57917,5729,974,1170,406,24686,20770,14949,10341
2025-12,Area_3,T036,Paid Search,39886,31390,111434,6290,664,1509,324,32012,22578,18425,11358
2025-12,Area_3,T036,Organic Search,4877,3885,11101,834,236,189,81,3361,2955,2052,1053
2025-12,Area_3,T036,Direct,24754,14313,87370,3314,1229,803,636,15944,12820,8475,4844
2025-12,Area_3,T036,Referral,24799,15281,77166,3799,504,364,454,15524,13787,10910,6980
2025-12,Area_3,T036,Display,37765,29533,158653,6382,1494,853,1041,32405,25998,19520,10724
2025-01,Area_13,T174,Paid Search,25196,16810,65075,2095,1033,473,452,17015,14116,9084,4712
2025-01,Area_13,T174,Organic Search,5204,2632,9328,599,159,200,114,3539,2560,1899,1009
2025-01,Area_13,T174,Direct,25738,20516,93973,3836,288,285,533,19034,15190,9841,5821
2025-01,Area_13,T174,Referral,34452,17816,65188,2515,965,878,489,26096,22755,15298,8810
2025-01,Area_13,T174,Display,31823,18799,134424,1658,1171,886,299,20510,17979,14612,7397
2025-02,Area_13,T174,Paid Search,25820,18451,110904,2822,693,623,354,19451,16051,11987,6627
2025-02,Area_13,T174,Organic Search,6897,5383,15574,654,286,222,55,5253,4353,2798,1498
2025-02,Area_13,T174,Direct,16024,10861,27904,2739,459,561,360,14259,12574,9639,7032
2025-02,Area_13,T174,Referral,26524,19315,98292,5079,1066,756,648,20707,16493,13935,9033
2025-02,Area_13,T174,Display,30138,14212,60596,2171,828,1154,735,23116,17734,14078,7458
2025-03,Area_13,T174,Paid Search,31658,24045,56120,5274,1219,675,546,20438,14332,9802,5895
2025-03,Area_13,T174,Organic Search,7554,5750,14601,1311,240,125,203,5785,4161,3398,1976
2025-03,Area_13,T174,Direct,28733,14343,113836,2362,709,718,200,23274,20059,15620,11910
2025-03,Area_13,T174,Referral,35615,21568,95317,4325,1160,1173,937,24457,18409,12499,9493
2025-03,Area_13,T174,Display,14957,7503,40991,1978,173,506,267,11003,9688,6490,4744
2025-04,Area_13,T174,Paid Search,31309,22730,96807,3085,909,1164,389,19596,17259,10864,6184
2025-04,Area_13,T174,Organic Search,7491,4130,30145,1192,369,214,91,6698,5547,4192,2600
2025-04,Area_13,T174,Direct,4117,2235,10725,412,68,76,38,3128,2624,1912,996
2025-04,Area_13,T174,Referral,8790,6148,17847,1078,429,306,144,5957,4360,2665,1519
2025-04,Area_13,T174,Display,21646,14959,56357,2818,218,810,575,18736,16615,11808,7936
2025-05,Area_13,T174,Paid Search,2435,1182,4184,342,90,71,41,1893,1576,1222,663
2025-05,Area_13,T174,Organic Search,35866,17331,121265,2161,1090,1219,467,29373,24940,15013,9044
2025-05,Area_13,T174,Direct,12516,9444,37803,2034,163,405,86,10927,8768,7363,5084
2025-05,Area_13,T174,Referral,30584,22042,80002,4464,968,620,705,18364,15030,9418,6825
2025-05,Area_13,T174,Display,16553,11578,65949,2636,231,292,336,12749,11263,9526,7323
2025-06,Area_13,T174,Paid Search,9988,6205,36527,1771,312,208,233,6868,5249,3289,2544
2025-06,Area_13,T174,Organic Search,24175,17146,51157,4810,879,551,596,16598,14146,11927,8466
2025-06,Area_13,T174,Direct,39566,28322,118356,4416,1400,896,883,25708,18853,15953,12305
2025-06,Area_13,T174,Referral,20406,10897,71491,3866,364,603,356,16304,11861,7807,4717
2025-06,Area_13,T174,Display,15350,9124,66030,3055,533,416,157,9931,8066,4850,2871
2025-07,Area_13,T174,Paid Search,30169,14984,116235,3397,481,370,466,25723,19061,16178,8190
2025-07,Area_13,T174,Organic Search,27079,13800,56327,5009,680,380,573,23554,19919,15321,10165
2025-07,Area_13,T174,Direct,24290,15156,109207,3126,758,934,510,17200,13346,9304,6553
2025-07,Area_13,T174,Referral,26394,14899,76060,4475,934,626,325,21817,17304,11440,7065
2025-07,Area_13,T174,Display,14496,9719,40791,2317,650,536,87,12161,10737,7829,4462
2025-08,Area_13,T174,Paid Search,8483,5168,31931,805,388,178,43,7580,6058,5003,2665
2025-08,Area_13,T174,Organic Search,2498,1350,9145,496,36,49,37,1920,1641,1363,744
2025-08,Area_13,T174,Direct,33769,23149,141551,3418,1076,554,449,28587,25520,17404,12679
2025-08,Area_13,T174,Referral,36724,22074,91460,5236,1699,1338,392,28490,21257,14095,10921
2025-08,Area_13,T174,Display,33907,19381,146867,6013,1336,459,561,26967,19391,15007,11179
2025-09,Area_13,T174,Paid Search,25786,18306,70871,2036,1010,468,571,21598,19179,14529,10569
2025-09,Area_13,T174,Organic Search,21682,10251,40253,3124,1026,291,262,17901,15366,11126,5851
2025-09,Area_13,T174,Direct,34493,17340,60987,3367,1421,769,586,26604,20637,13460,8406
2025-09,Area_13,T174,Referral,30352,15052,54763,2032,1490,652,289,25558,20271,13128,9026
2025-09,Area_13,T174,Display,3145,2089,7798,440,116,112,85,2284,1945,1640,1082
2025-10,Area_13,T174,Paid Search,16761,7793,32783,2235,533,527,303,12278,10460,8406,4607
2025-10,Area_13,T174,Organic Search,34800,27507,75778,3893,417,768,574,24434,21517,16740,13345
