INTERACTION_ID,CUSTOMER_ID,TIER,CONTACT_DATE,CALL_TYPE,CALL_DURATION,REACH_BACK
INT000072,7204715657,tier_3,2025-12-10,Follow-up,30,false
INT000073,7204715657,tier_3,2025-12-06,Follow-up,30,false
INT000074,5450709877,tier_2,2025-11-06,Inbound,30,false
INT000075,5450709877,tier_2,2025-06-23,Outbound,20,false
INT000076,5450709877,tier_2,2025-06-02,Inbound,20,true
INT000077,5450709877,tier_2,2025-05-30,Outbound,30,false
INT000078,5450709877,tier_2,2025-05-29,Inbound,30,true
INT000079,5450709877,tier_2,2025-12-04,Inbound,30,false
INT000080,5450709877,tier_2,2025-01-13,Inbound,40,false
INT000081,6012444862,tier_2,2025-08-16,Inbound,50,false
INT000082,6012444862,tier_2,2025-11-17,Follow-up,30,false
INT000083,6012444862,tier_2,2025-05-22,Outbound,20,false
INT000084,6012444862,tier_2,2025-06-09,Follow-up,30,true
INT000085,6012444862,tier_2,2025-02-15,Follow-up,10,false
INT000086,6012444862,tier_2,2025-11-29,Follow-up,10,false
INT000087,6012444862,tier_2,2025-02-13,Outbound,20,false
INT000088,3158645506,unidentified,2025-08-24,Follow-up,10,false
INT000089,1067445645,unidentified,2025-07-18,Inbound,20,false
INT000090,1067445645,unidentified,2025-12-01,Inbound,30,false
INT000091,8095384835,tier_1,2025-12-25,Outbound,30,false
INT000092,8095384835,tier_1,2025-04-27,Follow-up,20,false
INT000093,8095384835,tier_1,2025-06-05,Inbound,40,false
INT000094,8095384835,tier_1,2025-12-12,Outbound,10,false
INT000095,8095384835,tier_1,2025-05-15,Outbound,10,true
INT000096,8095384835,tier_1,2025-10-19,Inbound,50,false
INT000097,8095384835,tier_1,2025-12-09,Outbound,50,true
INT000098,8095384835,tier_1,2025-04-14,Follow-up,10,false
INT000099,8095384835,tier_1,2025-07-03,Outbound,30,true
INT000100,4339963650,tier_3,2025-08-31,Follow-up,50,false
INT000101,4339963650,tier_3,2025-05-20,Outbound,30,false
INT000102,4339963650,tier_3,2025-08-06,Outbound,40,false
INT000103,4339963650,tier_3,2025-08-21,Follow-up,50,false
INT000104,4339963650,tier_3,2025-10-17,Outbound,50,false
INT000105,4696070398,tier_3,2025-05-25,Follow-up,40,false
INT000106,4696070398,tier_3,2025-05-12,Outbound,30,false
INT000107,4696070398,tier_3,2025-10-24,Outbound,30,false
INT000108,4696070398,tier_3,2025-01-22,Follow-up,10,false
INT000109,6480276686,tier_1,2025-03-22,Follow-up,10,false
INT000110,6480276686,tier_1,2025-03-31,Outbound,10,false
INT000111,6480276686,tier_1,2025-05-20,Outbound,30,false
INT000112,6480276686,tier_1,2025-12-06,Follow-up,30,false
INT000113,6480276686,tier_1,2025-12-23,Follow-up,40,false
INT000114,6480276686,tier_1,2025-05-06,Inbound,40,false
INT000115,6480276686,tier_1,2025-08-30,Outbound,20,false
INT000116,7872579535,tier_3,2025-04-15,Inbound,50,false
INT000117,7872579535,tier_3,2025-07-24,Inbound,40,false
INT000118,7872579535,tier_3,2025-02-14,Inbound,20,false
INT000119,7872579535,tier_3,2025-08-17,Follow-up,30,false
INT000120,4373801596,tier_2,2025-04-25,Follow-up,30,false
INT000121,4373801596,tier_2,2025-11-05,Inbound,50,false
INT000122,4373801596,tier_2,2025-03-23,Follow-up,20,false
INT000123,4373801596,tier_2,2025-10-20,Inbound,10,false
INT000124,4373801596,tier_2,2025-12-15,Inbound,50,true
INT000125,4373801596,tier_2,2025-01-01,Inbound,20,false
INT000126,4373801596,tier_2,2025-02-18,Follow-up,50,true
INT000127,3004147920,tier_2,2025-03-30,Inbound,10,false
INT000128,3004147920,tier_2,2025-07-19,Follow-up,50,true
INT000129,3004147920,tier_2,2025-01-11,Outbound,40,false
INT000130,3004147920,tier_2,2025-09-07,Follow-up,20,false
INT000131,3004147920,tier_2,2025-01-30,Inbound,20,false
INT000132,3004147920,tier_2,2025-09-27,Inbound,40,false
INT000133,9021276509,unidentified,2025-08-01,Inbound,10,false
INT000134,1432067806,unidentified,2025-10-20,Inbound,50,false
INT000135,1432067806,unidentified,2025-05-01,Follow-up,50,false
INT000136,2702228699,tier_2,2025-07-26,Follow-up,30,false
INT000137,2702228699,tier_2,2025-12-16,Inbound,10,false
INT000138,2702228699,tier_2,2025-05-23,Inbound,50,false
INT000139,2702228699,tier_2,2025-06-23,Outbound,40,true
INT000140,2702228699,tier_2,2025-05-13,Inbound,30,false
INT000141,7957357088,tier_2,2025-04-16,Outbound,40,true
INT000142,7957357088,tier_2,2025-04-13,Follow-up,50,false
INT000143,7957357088,tier_2,2025-10-06,Follow-up,50,true
INT000144,7957357088,tier_2,2025-01-28,Outbound,30,false
INT000145,5076326484,tier_2,2025-05-08,Inbound,30,false
INT000146,5076326484,tier_2,2025-01-30,Follow-up,30,false
INT000147,5076326484,tier_2,2025-04-30,Follow-up,50,false
INT000148,5076326484,tier_2,2025-11-12,Inbound,50,true
INT000149,5076326484,tier_2,2025-03-11,Inbound,30,true
INT000150,6764974113,tier_2,2025-11-06,Follow-up,10,false
INT000151,6764974113,tier_2,2025-03-25,Follow-up,50,false
INT000152,6764974113,tier_2,2025-11-09,Outbound,30,false
INT000153,6764974113,tier_2,2025-02-11,Follow-up,50,false
INT000154,6764974113,tier_2,2025-04-29,Follow-up,20,false
INT000155,6764974113,tier_2,2025-10-26,Inbound,20,false
INT000156,6764974113,tier_2,2025-09-03,Inbound,10,false
INT000157,4783689076,tier_3,2025-10-22,Outbound,10,false
INT000158,4783689076,tier_3,2025-01-12,Outbound,50,false
INT000159,4783689076,tier_3,2025-10-22,Follow-up,40,false
INT000160,6657164576,tier_2,2025-06-15,Follow-up,20,true
INT000161,6657164576,tier_2,2025-08-24,Follow-up,30,false
INT000162,6657164576,tier_2,2025-11-23,Follow-up,50,false
INT000163,6657164576,tier_2,2025-01-29,Follow-up,10,false
INT000164,6657164576,tier_2,2025-11-21,Follow-up,30,true
INT000165,6657164576,tier_2,2025-10-11,Follow-up,20,false
INT000166,6264015318,tier_3,2025-12-11,Outbound,30,false
INT000167,6264015318,tier_3,2025-03-17,Outbound,10,true
INT000168,6264015318,tier_3,2025-08-18,Inbound,20,false
INT000169,6264015318,tier_3,2025-05-03,Follow-up,30,true
INT000170,6264015318,tier_3,2025-04-03,Outbound,30,false
INT000171,9245286828,unidentified,2025-07-05,Inbound,30,false
INT000172,3019443989,unidentified,2025-09-07,Follow-up,30,false
INT000173,5583020715,tier_3,2025-05-19,Inbound,40,false
INT000174,5583020715,tier_3,2025-10-09,Outbound,10,true
INT000175,5583020715,tier_3,2025-07-15,Inbound,40,false
INT000176,5583020715,tier_3,2025-06-28,Outbound,10,true
INT000177,5583020715,tier_3,2025-01-04,Inbound,30,false
INT000178,6323648671,tier_3,2025-12-03,Inbound,30,false
INT000179,6323648671,tier_3,2025-02-16,Follow-up,40,false
INT000180,6323648671,tier_3,2025-01-23,Outbound,50,false
INT000181,9146639008,tier_2,2025-01-23,Follow-up,40,false
INT000182,9146639008,tier_2,2025-02-26,Outbound,50,true
INT000183,9146639008,tier_2,2025-03-13,Follow-up,30,true
INT000184,9146639008,tier_2,2025-07-31,Follow-up,20,false
INT000185,2874200659,tier_1,2025-06-23,Follow-up,40,true
INT000186,2874200659,tier_1,2025-09-24,Outbound,30,false
INT000187,2874200659,tier_1,2025-06-12,Outbound,50,true
INT000188,2874200659,tier_1,2025-06-24,Inbound,40,false
INT000189,2874200659,tier_1,2025-09-24,Inbound,40,false
INT000190,2874200659,tier_1,2025-12-23,Inbound,30,true
INT000191,2874200659,tier_1,2025-01-25,Inbound,40,true
INT000192,2874200659,tier_1,2025-12-31,Follow-up,30,false
INT000193,2874200659,tier_1,2025-10-18,Outbound,40,false
INT000194,1692800893,unidentified,2025-10-13,Inbound,30,false
INT000195,6613162944,tier_1,2025-04-02,Inbound,40,false
INT000196,6613162944,tier_1,2025-02-25,Follow-up,40,false
INT000197,6613162944,tier_1,2025-01-01,Outbound,20,false
INT000198,6613162944,tier_1,2025-04-16,Inbound,50,true
INT000199,6613162944,tier_1,2025-01-23,Follow-up,50,false
INT000200,6613162944,tier_1,2025-12-24,Inbound,20,false
INT000201,6613162944,tier_1,2025-08-13,Outbound,20,true
INT000202,9049553456,tier_2,2025-05-13,Follow-up,10,false
INT000203,9049553456,tier_2,2025-06-30,Follow-up,30,false
INT000204,9049553456,tier_2,2025-06-27,Inbound,50,false
INT000205,9049553456,tier_2,2025-11-26,Outbound,30,true
INT000206,9049553456,tier_2,2025-11-03,Follow-up,10,true
INT000207,7095360792,tier_1,2025-08-22,Outbound,10,true
INT000208,7095360792,tier_1,2025-09-02,Outbound,20,true
INT000209,7095360792,tier_1,2025-09-05,Inbound,40,false
INT000210,7095360792,tier_1,2025-10-06,Outbound,20,false
INT000211,7095360792,tier_1,2025-11-27,Outbound,50,false
INT000212,7095360792,tier_1,2025-07-22,Outbound,10,true
INT000213,7095360792,tier_1,2025-04-08,Inbound,50,false
INT000214,7095360792,tier_1,2025-02-08,Inbound,10,false
INT000215,3160887445,unidentified,2025-06-15,Outbound,40,false
INT000216,3160887445,unidentified,2025-10-10,Inbound,30,false
INT000217,3160887445,unidentified,2025-09-03,Follow-up,10,false
INT000218,7640678637,tier_1,2025-03-29,Outbound,10,false
INT000219,7640678637,tier_1,2025-01-25,Follow-up,40,true
INT000220,7640678637,tier_1,2025-02-04,Inbound,20,false
INT000221,7640678637,tier_1,2025-08-24,Outbound,50,true
INT000222,7640678637,tier_1,2025-03-24,Inbound,30,false
INT000223,7640678637,tier_1,2025-02-09,Inbound,30,true
INT000224,5701312708,unidentified,2025-10-01,Outbound,40,false
INT000225,7024588225,tier_2,2025-01-21,Outbound,10,false
INT000226,7024588225,tier_2,2025-02-12,Follow-up,50,false
INT000227,7024588225,tier_2,2025-05-14,Follow-up,30,false
INT000228,7024588225,tier_2,2025-09-20,Inbound,50,false
INT000229,9935458273,unidentified,2025-10-22,Inbound,10,true
INT000230,9935458273,unidentified,2025-04-27,Outbound,30,false
INT000231,9935458273,unidentified,2025-01-25,Outbound,50,false
INT000232,4891550226,tier_2,2025-10-31,Outbound,50,false
INT000233,4891550226,tier_2,2025-08-10,Outbound,50,false
INT000234,4891550226,tier_2,2025-04-29,Outbound,10,false
INT000235,4891550226,tier_2,2025-10-24,Follow-up,50,false
INT000236,2726202376,tier_3,2025-05-21,Follow-up,50,false
INT000237,2726202376,tier_3,2025-05-04,Inbound,20,false
INT000238,2726202376,tier_3,2025-01-05,Outbound,10,true
INT000239,2726202376,tier_3,2025-11-02,Follow-up,30,false
INT000240,2726202376,tier_3,2025-07-31,Inbound,30,false
INT000241,9904014280,tier_2,2025-09-20,Outbound,50,false
INT000242,9904014280,tier_2,2025-05-14,Follow-up,50,false
INT000243,9904014280,tier_2,2025-01-12,Outbound,30,false
INT000244,9904014280,tier_2,2025-09-28,Outbound,40,true
INT000245,9904014280,tier_2,2025-09-12,Outbound,30,true
INT000246,9904014280,tier_2,2025-10-19,Inbound,50,false
INT000247,2536157261,tier_1,2025-02-19,Outbound,30,true
INT000248,2536157261,tier_1,2025-04-02,Outbound,50,true
INT000249,2536157261,tier_1,2025-09-18,Inbound,20,false
INT000250,2536157261,tier_1,2025-10-23,Inbound,40,true
INT000251,2536157261,tier_1,2025-02-20,Follow-up,10,true
INT000252,2536157261,tier_1,2025-09-15,Outbound,50,false
INT000253,2536157261,tier_1,2025-05-05,Follow-up,30,false
INT000254,2536157261,tier_1,2025-07-28,Outbound,10,false
INT000255,2536157261,tier_1,2025-10-30,Follow-up,10,true
INT000256,6901490197,tier_2,2025-03-30,Follow-up,40,true
INT000257,6901490197,tier_2,2025-05-15,Inbound,20,false
INT000258,6901490197,tier_2,2025-01-15,Outbound,50,false
INT000259,6901490197,tier_2,2025-03-26,Inbound,40,false
INT000260,6901490197,tier_2,2025-12-08,Inbound,20,false
INT000261,6901490197,tier_2,2025-11-21,Follow-up,40,false
INT000262,6901490197,tier_2,2025-09-07,Follow-up,20,false
INT000263,1440335749,unidentified,2025-01-27,Outbound,20,true
INT000264,1967250923,tier_1,2025-01-21,Outbound,30,true
INT000265,1967250923,tier_1,2025-11-17,Inbound,50,true
INT000266,1967250923,tier_1,2025-12-02,Inbound,10,true
INT000267,1967250923,tier_1,2025-03-30,Inbound,50,true
INT000268,1967250923,tier_1,2025-01-14,Inbound,10,true
INT000269,1967250923,tier_1,2025-11-08,Inbound,50,false
INT000270,4454253273,tier_2,2025-11-26,Outbound,10,false
INT000271,4454253273,tier_2,2025-07-17,Outbound,30,true
INT000272,4454253273,tier_2,2025-08-04,Inbound,50,false
INT000273,4454253273,tier_2,2025-01-06,Follow-up,40,false
INT000274,4454253273,tier_2,2025-02-05,Outbound,40,false
INT000275,4454253273,tier_2,2025-01-21,Inbound,10,false
INT000276,3397053656,tier_2,2025-11-22,Outbound,20,false
INT000277,3397053656,tier_2,2025-09-02,Outbound,40,false
INT000278,3397053656,tier_2,2025-03-17,Outbound,10,false
INT000279,3397053656,tier_2,2025-03-09,Outbound,10,false
INT000280,3397053656,tier_2,2025-03-17,Inbound,40,true
INT000281,3397053656,tier_2,2025-09-04,Inbound,40,true
INT000282,6050417582,tier_3,2025-04-08,Outbound,40,false
INT000283,6050417582,tier_3,2025-05-23,Outbound,20,false
INT000284,6050417582,tier_3,2025-05-12,Inbound,50,false
INT000285,6050417582,tier_3,2025-03-02,Follow-up,30,false
INT000286,6050417582,tier_3,2025-01-11,Outbound,50,false
INT000287,1114312501,tier_3,2025-08-09,Follow-up,20,false
INT000288,1114312501,tier_3,2025-12-18,Follow-up,40,false
INT000289,1114312501,tier_3,2025-04-01,Follow-up,10,false
INT000290,1114312501,tier_3,2025-05-03,Inbound,10,false
INT000291,7584112792,tier_1,2025-12-19,Inbound,40,false
INT000292,7584112792,tier_1,2025-06-11,Follow-up,40,false
INT000293,7584112792,tier_1,2025-03-06,Follow-up,30,false
INT000294,7584112792,tier_1,2025-04-10,Follow-up,50,true
INT000295,7584112792,tier_1,2025-11-14,Inbound,50,false
INT000296,7584112792,tier_1,2025-12-01,Follow-up,20,true
INT000297,7584112792,tier_1,2025-12-28,Follow-up,10,false
INT000298,7584112792,tier_1,2025-05-03,Inbound,30,true
INT000299,7584112792,tier_1,2025-11-13,Inbound,50,false
INT000300,6928737823,unidentified,2025-09-15,Outbound,20,false
INT000301,6928737823,unidentified,2025-04-16,Follow-up,40,false
INT000302,6928737823,unidentified,2025-03-07,Follow-up,40,false
INT000303,9621420688,unidentified,2025-11-23,Inbound,40,false
INT000304,9621420688,unidentified,2025-05-13,Follow-up,10,false
INT000305,9621420688,unidentified,2025-12-31,Follow-up,10,false
INT000306,6402093588,tier_2,2025-05-01,Inbound,30,false
INT000307,6402093588,tier_2,2025-03-24,Follow-up,40,false
INT000308,6402093588,tier_2,2025-03-22,Outbound,40,false
INT000309,6402093588,tier_2,2025-07-15,Follow-up,20,false
INT000310,8985444226,tier_2,2025-03-28,Inbound,40,false
INT000311,8985444226,tier_2,2025-06-15,Inbound,20,false
INT000312,8985444226,tier_2,2025-09-15,Inbound,30,true
INT000313,8985444226,tier_2,2025-01-01,Inbound,10,false
INT000314,8985444226,tier_2,2025-12-20,Inbound,20,false
INT000315,8985444226,tier_2,2025-08-01,Inbound,20,false
INT000316,8985444226,tier_2,2025-05-08,Inbound,10,true
INT000317,2435315067,unidentified,2025-05-15,Inbound,20,false
INT000318,4102867457,tier_2,2025-01-15,Follow-up,50,true
INT000319,4102867457,tier_2,2025-11-03,Outbound,40,false
INT000320,4102867457,tier_2,2025-11-03,Outbound,20,true
INT000321,4102867457,tier_2,2025-07-20,Follow-up,10,false
INT000322,5889438048,tier_1,2025-08-05,Outbound,20,false
INT000323,5889438048,tier_1,2025-11-19,Inbound,20,true
INT000324,5889438048,tier_1,2025-06-08,Inbound,40,true
INT000325,5889438048,tier_1,2025-07-17,Outbound,20,false
INT000326,5889438048,tier_1,2025-03-13,Outbound,10,true
INT000327,5889438048,tier_1,2025-04-26,Inbound,40,true
INT000328,5889438048,tier_1,2025-04-02,Outbound,30,false
INT000329,9323684622,unidentified,2025-03-21,Outbound,50,true
INT000330,9323684622,unidentified,2025-03-20,Inbound,40,false
INT000331,9323684622,unidentified,2025-03-04,Follow-up,30,true
INT000332,6610104966,tier_1,2025-04-02,Follow-up,10,false
INT000333,6610104966,tier_1,2025-05-09,Outbound,50,true
INT000334,6610104966,tier_1,2025-04-27,Inbound,30,true
INT000335,6610104966,tier_1,2025-03-18,Follow-up,30,false
INT000336,6610104966,tier_1,2025-08-24,Inbound,50,false
INT000337,6610104966,tier_1,2025-03-05,Follow-up,20,true
INT000338,6610104966,tier_1,2025-02-01,Outbound,30,true
INT000339,7888748100,tier_1,2025-03-01,Follow-up,30,false
INT000340,7888748100,tier_1,2025-11-21,Follow-up,40,false
INT000341,7888748100,tier_1,2025-06-15,Outbound,20,true
INT000342,7888748100,tier_1,2025-03-01,Inbound,20,false
INT000343,7888748100,tier_1,2025-05-12,Outbound,40,false
INT000344,7888748100,tier_1,2025-02-05,Outbound,30,true
INT000345,7888748100,tier_1,2025-01-20,Follow-up,10,true
INT000346,9948777154,tier_1,2025-03-01,Follow-up,20,true
INT000347,9948777154,tier_1,2025-09-03,Inbound,10,false
INT000348,9948777154,tier_1,2025-10-01,Inbound,10,false
INT000349,9948777154,tier_1,2025-09-15,Inbound,40,false
INT000350,9948777154,tier_1,2025-05-14,Outbound,30,false
INT000351,9948777154,tier_1,2025-03-18,Outbound,30,false
INT000352,9948777154,tier_1,2025-05-11,Outbound,20,false
INT000353,9948777154,tier_1,2025-10-14,Outbound,30,true
INT000354,9948777154,tier_1,2025-05-16,Follow-up,30,true
INT000355,3397297352,tier_1,2025-02-21,Inbound,50,false
INT000356,3397297352,tier_1,2025-03-27,Follow-up,10,true
INT000357,3397297352,tier_1,2025-09-04,Outbound,20,true
INT000358,3397297352,tier_1,2025-07-03,Follow-up,30,true
INT000359,3397297352,tier_1,2025-03-20,Inbound,20,false
INT000360,3397297352,tier_1,2025-05-18,Outbound,20,false
INT000361,3397297352,tier_1,2025-12-23,Follow-up,40,false
INT000362,3397297352,tier_1,2025-04-30,Inbound,30,true
INT000363,9479606724,unidentified,2025-10-21,Follow-up,30,true
INT000364,5681034480,tier_2,2025-05-31,Follow-up,50,true
INT000365,5681034480,tier_2,2025-11-04,Inbound,30,false
INT000366,5681034480,tier_2,2025-09-30,Inbound,30,false
INT000367,5681034480,tier_2,2025-01-07,Outbound,50,false
INT000368,5681034480,tier_2,2025-06-09,Outbound,40,true
INT000369,7993733766,tier_1,2025-09-22,Outbound,50,false
INT000370,7993733766,tier_1,2025-03-31,Outbound,50,true
INT000371,7993733766,tier_1,2025-02-27,Follow-up,10,true
INT000372,7993733766,tier_1,2025-08-22,Inbound,10,false
INT000373,7993733766,tier_1,2025-02-03,Follow-up,50,false
INT000374,7993733766,tier_1,2025-06-16,Outbound,10,true
INT000375,7993733766,tier_1,2025-06-11,Follow-up,40,true
INT000376,8132178187,tier_1,2025-05-29,Inbound,20,true
INT000377,8132178187,tier_1,2025-07-14,Follow-up,40,false
INT000378,8132178187,tier_1,2025-02-23,Outbound,10,false
INT000379,8132178187,tier_1,2025-09-20,Follow-up,40,false
INT000380,8132178187,tier_1,2025-07-12,Follow-up,10,true
INT000381,8132178187,tier_1,2025-12-13,Inbound,30,false
INT000382,8132178187,tier_1,2025-08-27,Outbound,10,true
INT000383,8132178187,tier_1,2025-05-01,Outbound,40,true
INT000384,8132178187,tier_1,2025-11-28,Follow-up,40,false
INT000385,6461121024,tier_1,2025-08-15,Follow-up,50,false
INT000386,6461121024,tier_1,2025-04-11,Inbound,30,true
INT000387,6461121024,tier_1,2025-09-09,Outbound,50,false
INT000388,6461121024,tier_1,2025-06-20,Outbound,40,false
INT000389,6461121024,tier_1,2025-08-26,Outbound,30,false
INT000390,6461121024,tier_1,2025-11-19,Inbound,30,false
INT000391,6461121024,tier_1,2025-02-01,Follow-up,30,false
INT000392,3522087107,tier_2,2025-04-18,Outbound,40,false
INT000393,3522087107,tier_2,2025-05-05,Inbound,30,false
INT000394,3522087107,tier_2,2025-12-02,Inbound,10,false
INT000395,3522087107,tier_2,2025-05-10,Outbound,50,false
INT000396,2044766136,tier_1,2025-05-14,Outbound,20,true
INT000397,2044766136,tier_1,2025-10-02,Outbound,20,true
INT000398,2044766136,tier_1,2025-02-15,Outbound,40,false
INT000399,2044766136,tier_1,2025-01-27,Inbound,30,true
INT000400,2044766136,tier_1,2025-06-13,Follow-up,30,false
INT000401,2044766136,tier_1,2025-04-11,Outbound,20,false
INT000402,2044766136,tier_1,2025-09-26,Follow-up,10,false
INT000403,4194812484,tier_3,2025-12-29,Outbound,50,false
INT000404,4194812484,tier_3,2025-07-19,Outbound,50,true
INT000405,4194812484,tier_3,2025-08-14,Inbound,40,false
INT000406,4194812484,tier_3,2025-04-11,Outbound,40,false
INT000407,4194812484,tier_3,2025-05-06,Follow-up,10,false
INT000408,5124061391,tier_1,2025-02-02,Outbound,40,true
INT000409,5124061391,tier_1,2025-12-17,Follow-up,20,false
INT000410,5124061391,tier_1,2025-04-04,Follow-up,40,false
INT000411,5124061391,tier_1,2025-02-14,Inbound,30,false
INT000412,5124061391,tier_1,2025-07-18,Inbound,50,true
INT000413,5124061391,tier_1,2025-07-14,Inbound,10,false
INT000414,5124061391,tier_1,2025-03-01,Inbound,10,false
INT000415,1259894472,tier_2,2025-12-02,Inbound,50,false
INT000416,1259894472,tier_2,2025-02-01,Outbound,30,false
INT000417,1259894472,tier_2,2025-02-03,Inbound,20,false
INT000418,1259894472,tier_2,2025-10-30,Follow-up,40,false
INT000419,4087104907,tier_1,2025-10-01,Follow-up,20,true
INT000420,4087104907,tier_1,2025-05-02,Inbound,50,false
INT000421,4087104907,tier_1,2025-05-09,Outbound,10,true
INT000422,4087104907,tier_1,2025-07-13,Follow-up,10,false
INT000423,4087104907,tier_1,2025-12-11,Inbound,10,true
INT000424,4087104907,tier_1,2025-02-23,Outbound,50,false
INT000425,4087104907,tier_1,2025-02-04,Inbound,40,false
INT000426,5630668026,unidentified,2025-01-10,Follow-up,40,false
INT000427,5630668026,unidentified,2025-12-05,Outbound,10,false
INT000428,3149206687,tier_1,2025-08-05,Follow-up,50,false
INT000429,3149206687,tier_1,2025-06-14,Follow-up,50,true
INT000430,3149206687,tier_1,2025-02-13,Outbound,10,false
INT000431,3149206687,tier_1,2025-09-23,Follow-up,20,false
INT000432,3149206687,tier_1,2025-08-24,Outbound,30,false
INT000433,3149206687,tier_1,2025-11-04,Outbound,30,true
INT000434,3149206687,tier_1,2025-02-15,Follow-up,20,true
INT000435,3149206687,tier_1,2025-10-23,Follow-up,50,false
INT000436,8527498830,tier_2,2025-03-02,Outbound,10,false
INT000437,8527498830,tier_2,2025-08-09,Follow-up,10,false
INT000438,8527498830,tier_2,2025-11-02,Outbound,10,false
INT000439,8527498830,tier_2,2025-09-21,Outbound,20,false
INT000440,8527498830,tier_2,2025-10-16,Follow-up,50,true
INT000441,8527498830,tier_2,2025-01-16,Inbound,10,false
INT000442,9602564750,tier_2,2025-08-14,Outbound,50,false
