MONTH,AREA,TERRITORY,CHANNEL,SEARCH_ENGINE,CAMPAIGN_ID,CAMPAIGN_NAME,IMPRESSIONS,CLICKS,COST,CTR,AVG_CPC
2025-10,Area_13,T164,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,63585,2620,129856.03,0.0412,49.56
2025-10,Area_13,T164,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,129556,6940,696548.42,0.0536,100.37
2025-11,Area_13,T164,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,220235,6788,735330.64,0.0308,108.33
2025-11,Area_13,T164,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,38047,1916,210011.09,0.0504,109.61
2025-11,Area_13,T164,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,64262,3556,167890.23,0.0553,47.21
2025-11,Area_13,T164,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,157848,8034,852190.95,0.0509,106.07
2025-12,Area_13,T164,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,41959,1540,105463.82,0.0367,68.48
2025-12,Area_13,T164,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,248576,3975,213702.03,0.0160,53.76
2025-12,Area_13,T164,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,185838,3422,143301.12,0.0184,41.88
2025-12,Area_13,T164,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,88840,2682,71044.10,0.0302,26.49
2025-01,Area_1,T007,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,59353,3449,155819.71,0.0581,45.18
2025-01,Area_1,T007,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,261025,11906,414432.30,0.0456,34.81
2025-01,Area_1,T007,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,276951,3280,265537.10,0.0118,80.96
2025-01,Area_1,T007,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,132859,1670,79933.96,0.0126,47.86
2025-02,Area_1,T007,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,289536,12078,1063716.04,0.0417,88.07
2025-02,Area_1,T007,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,238164,8210,973419.02,0.0345,118.57
2025-02,Area_1,T007,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,214806,9366,900652.93,0.0436,96.16
2025-02,Area_1,T007,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,188229,5343,444701.01,0.0284,83.23
2025-03,Area_1,T007,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,109045,4011,116435.23,0.0368,29.03
2025-03,Area_1,T007,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,106202,2052,49407.06,0.0193,24.08
2025-03,Area_1,T007,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,153883,6752,146240.10,0.0439,21.66
2025-03,Area_1,T007,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,54754,2763,151596.41,0.0505,54.87
2025-04,Area_1,T007,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,234835,13391,800208.69,0.0570,59.76
2025-04,Area_1,T007,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,239686,13622,459771.03,0.0568,33.75
2025-04,Area_1,T007,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,28155,1316,53833.83,0.0467,40.91
2025-04,Area_1,T007,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,105981,4746,203389.84,0.0448,42.86
2025-05,Area_1,T007,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,140975,7170,541478.98,0.0509,75.52
2025-05,Area_1,T007,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,153121,9158,1067291.04,0.0598,116.54
2025-05,Area_1,T007,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,137796,7459,289936.63,0.0541,38.87
2025-05,Area_1,T007,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,289544,7951,736227.36,0.0275,92.60
2025-06,Area_1,T007,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,86690,4578,276743.82,0.0528,60.45
2025-06,Area_1,T007,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,294327,15465,1756259.52,0.0525,113.56
2025-06,Area_1,T007,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,287683,15801,1274238.56,0.0549,80.64
2025-06,Area_1,T007,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,199426,5706,650560.14,0.0286,114.01
2025-07,Area_1,T007,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,153272,1571,56682.94,0.0102,36.08
2025-07,Area_1,T007,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,139121,4769,309233.47,0.0343,64.84
2025-07,Area_1,T007,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,132296,2486,54213.54,0.0188,21.81
2025-07,Area_1,T007,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,155059,4391,414585.28,0.0283,94.42
2025-08,Area_1,T007,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,106416,2703,200708.62,0.0254,74.25
2025-08,Area_1,T007,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,127450,3617,168263.70,0.0284,46.52
2025-08,Area_1,T007,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,136381,7998,474359.56,0.0586,59.31
2025-08,Area_1,T007,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,170810,5418,298032.48,0.0317,55.01
2025-09,Area_1,T007,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,156672,3096,285591.17,0.0198,92.25
2025-09,Area_1,T007,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,65714,2536,245625.30,0.0386,96.86
2025-09,Area_1,T007,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,125983,2375,270858.91,0.0189,114.05
2025-09,Area_1,T007,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,102989,5740,327271.09,0.0557,57.02
2025-10,Area_1,T007,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,285564,8969,1046372.71,0.0314,116.67
2025-10,Area_1,T007,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,144019,3560,208294.79,0.0247,58.51
2025-10,Area_1,T007,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,288246,6751,462632.44,0.0234,68.53
2025-10,Area_1,T007,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,46641,1764,200417.70,0.0378,113.62
2025-11,Area_1,T007,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,56631,1157,100791.30,0.0204,87.11
2025-11,Area_1,T007,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,38070,647,46475.93,0.0170,71.83
2025-11,Area_1,T007,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,250785,6552,687088.45,0.0261,104.87
2025-11,Area_1,T007,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,125864,5679,317735.02,0.0451,55.95
2025-12,Area_1,T007,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,74748,1855,114969.35,0.0248,61.98
2025-12,Area_1,T007,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,49592,2012,56656.75,0.0406,28.16
2025-12,Area_1,T007,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,268710,9425,940893.21,0.0351,99.83
2025-12,Area_1,T007,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,284512,3854,230000.49,0.0135,59.68
2025-01,Area_5,T063,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,107922,2903,167091.73,0.0269,57.56
2025-01,Area_5,T063,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,162038,7065,373139.86,0.0436,52.82
2025-01,Area_5,T063,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,72921,2707,131706.72,0.0371,48.65
2025-01,Area_5,T063,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,75609,4008,180460.75,0.0530,45.03
2025-02,Area_5,T063,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,90313,4617,258640.02,0.0511,56.02
2025-02,Area_5,T063,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,133632,6867,323808.52,0.0514,47.15
2025-02,Area_5,T063,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,199819,8221,234584.15,0.0411,28.53
2025-02,Area_5,T063,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,217484,4288,262148.55,0.0197,61.14
2025-03,Area_5,T063,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,231810,9706,898864.25,0.0419,92.61
2025-03,Area_5,T063,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,114476,6694,612229.96,0.0585,91.46
2025-03,Area_5,T063,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,242866,12084,568953.69,0.0498,47.08
2025-03,Area_5,T063,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,48251,2277,102660.94,0.0472,45.09
2025-04,Area_5,T063,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,52217,3035,314419.97,0.0581,103.60
2025-04,Area_5,T063,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,240552,10686,275905.68,0.0444,25.82
2025-04,Area_5,T063,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,245913,4382,197296.44,0.0178,45.02
2025-04,Area_5,T063,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,158877,2334,89360.92,0.0147,38.29
2025-05,Area_5,T063,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,207628,4982,575353.88,0.0240,115.49
2025-05,Area_5,T063,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,49375,1862,151142.40,0.0377,81.17
2025-05,Area_5,T063,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,210710,2609,199859.11,0.0124,76.60
2025-05,Area_5,T063,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,164356,2631,142568.54,0.0160,54.19
2025-06,Area_5,T063,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,29435,362,8714.38,0.0123,24.07
2025-06,Area_5,T063,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,98781,4463,300883.78,0.0452,67.42
2025-06,Area_5,T063,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,259833,12515,1260151.59,0.0482,100.69
2025-06,Area_5,T063,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,79101,3360,83347.80,0.0425,24.81
2025-07,Area_5,T063,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,230677,9631,236252.29,0.0418,24.53
2025-07,Area_5,T063,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,216489,8939,628533.50,0.0413,70.31
2025-07,Area_5,T063,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,211232,7809,690287.31,0.0370,88.40
2025-07,Area_5,T063,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,47663,644,54251.80,0.0135,84.24
2025-08,Area_5,T063,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,114704,6120,511879.00,0.0534,83.64
2025-08,Area_5,T063,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,217459,8431,495886.06,0.0388,58.82
2025-08,Area_5,T063,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,24000,1213,123803.57,0.0505,102.06
2025-08,Area_5,T063,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,58304,2482,100939.06,0.0426,40.67
2025-09,Area_5,T063,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,171836,2314,69600.03,0.0135,30.08
2025-09,Area_5,T063,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,163233,1950,159559.51,0.0119,81.83
2025-09,Area_5,T063,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,47350,642,33318.24,0.0136,51.90
2025-09,Area_5,T063,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,134585,5932,320698.49,0.0441,54.06
2025-10,Area_5,T063,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,23267,1038,56917.34,0.0446,54.83
2025-10,Area_5,T063,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,31338,1688,157839.99,0.0539,93.51
2025-10,Area_5,T063,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,80692,4710,352294.76,0.0584,74.80
2025-10,Area_5,T063,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,58756,2792,281108.26,0.0475,100.68
2025-11,Area_5,T063,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,134352,6258,205068.23,0.0466,32.77
2025-11,Area_5,T063,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,90640,4425,239305.57,0.0488,54.08
2025-11,Area_5,T063,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,81476,1786,157140.28,0.0219,87.98
2025-11,Area_5,T063,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,194358,9276,281177.70,0.0477,30.31
2025-12,Area_5,T063,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,130448,4599,472067.79,0.0353,102.65
2025-12,Area_5,T063,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,139180,7623,449148.44,0.0548,58.92
2025-12,Area_5,T063,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,215004,11883,346135.96,0.0553,29.13
2025-12,Area_5,T063,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,79163,4552,523756.37,0.0575,115.06
2025-01,Area_3,T036,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,25486,360,10501.35,0.0141,29.17
2025-01,Area_3,T036,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,122795,3245,283132.24,0.0264,87.25
2025-01,Area_3,T036,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,257027,14730,1445449.08,0.0573,98.13
2025-01,Area_3,T036,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,283206,4123,286309.49,0.0146,69.44
2025-02,Area_3,T036,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,293318,17539,448772.42,0.0598,25.59
2025-02,Area_3,T036,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,58102,2166,196203.10,0.0373,90.58
2025-02,Area_3,T036,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,123150,2111,202974.89,0.0171,96.15
2025-02,Area_3,T036,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,251915,13438,1395510.45,0.0533,103.85
2025-03,Area_3,T036,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,197804,4179,249340.70,0.0211,59.67
2025-03,Area_3,T036,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,239930,10871,305854.26,0.0453,28.13
2025-03,Area_3,T036,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,48295,1386,79091.00,0.0287,57.06
2025-03,Area_3,T036,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,258067,5634,624074.63,0.0218,110.77
2025-04,Area_3,T036,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,186981,8490,578735.27,0.0454,68.17
2025-04,Area_3,T036,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,268683,10188,635957.38,0.0379,62.42
2025-04,Area_3,T036,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,244786,3808,263751.64,0.0156,69.26
2025-04,Area_3,T036,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,24748,748,57706.18,0.0302,77.15
2025-05,Area_3,T036,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,50355,802,25465.60,0.0159,31.75
2025-05,Area_3,T036,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,193416,9131,804477.10,0.0472,88.10
2025-05,Area_3,T036,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,81629,2449,165972.38,0.0300,67.77
2025-05,Area_3,T036,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,43960,2348,99460.30,0.0534,42.36
2025-06,Area_3,T036,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,149695,5658,295735.96,0.0378,52.27
2025-06,Area_3,T036,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,212714,11902,539148.90,0.0560,45.30
2025-06,Area_3,T036,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,295987,4076,149269.41,0.0138,36.62
2025-06,Area_3,T036,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,72528,3248,212594.94,0.0448,65.45
2025-07,Area_3,T036,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,130133,5103,561920.93,0.0392,110.12
2025-07,Area_3,T036,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,175576,9790,1134369.66,0.0558,115.87
2025-07,Area_3,T036,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,31023,1691,110871.56,0.0545,65.57
2025-07,Area_3,T036,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,86203,2308,85322.12,0.0268,36.97
2025-08,Area_3,T036,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,125787,4928,136867.63,0.0392,27.77
2025-08,Area_3,T036,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,147016,3380,220795.41,0.0230,65.32
2025-08,Area_3,T036,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,186619,4394,146401.54,0.0235,33.32
2025-08,Area_3,T036,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,142402,7280,837054.34,0.0511,114.98
2025-09,Area_3,T036,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,69407,2710,303296.85,0.0390,111.92
2025-09,Area_3,T036,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,246156,4490,274453.55,0.0182,61.13
2025-09,Area_3,T036,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,81813,4133,490701.22,0.0505,118.73
2025-09,Area_3,T036,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,132816,3830,363688.49,0.0288,94.96
2025-10,Area_3,T036,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,213752,12503,1302961.29,0.0585,104.21
2025-10,Area_3,T036,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,171456,5732,352414.54,0.0334,61.48
2025-10,Area_3,T036,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,20404,261,27789.25,0.0128,106.47
2025-10,Area_3,T036,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,169456,6221,590939.48,0.0367,94.99
2025-11,Area_3,T036,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,70612,2772,256720.70,0.0393,92.61
2025-11,Area_3,T036,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,24809,1302,58244.72,0.0525,44.73
2025-11,Area_3,T036,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,58765,1326,62949.44,0.0226,47.47
2025-11,Area_3,T036,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,41949,2261,216377.50,0.0539,95.70
2025-12,Area_3,T036,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,112193,3131,98174.88,0.0279,31.36
2025-12,Area_3,T036,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,296633,10354,700148.56,0.0349,67.62
2025-12,Area_3,T036,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,114074,2896,294345.31,0.0254,101.64
2025-12,Area_3,T036,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,126884,1829,181403.48,0.0144,99.18
2025-01,Area_13,T174,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,35254,1683,138058.10,0.0477,82.03
2025-01,Area_13,T174,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,101317,4140,488711.57,0.0409,118.05
2025-01,Area_13,T174,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,258897,10225,605569.54,0.0395,59.22
2025-01,Area_13,T174,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,276434,15261,836692.67,0.0552,54.83
2025-02,Area_13,T174,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,270875,6744,487997.37,0.0249,72.36
2025-02,Area_13,T174,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,63088,3626,125848.84,0.0575,34.71
2025-02,Area_13,T174,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,236464,8183,374981.38,0.0346,45.82
2025-02,Area_13,T174,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,145911,1793,147170.46,0.0123,82.08
2025-03,Area_13,T174,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,25569,675,56254.56,0.0264,83.34
2025-03,Area_13,T174,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,163087,4416,325575.52,0.0271,73.73
2025-03,Area_13,T174,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,175286,2875,101172.02,0.0164,35.19
2025-03,Area_13,T174,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,162709,7302,277525.12,0.0449,38.01
2025-04,Area_13,T174,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,192312,10546,710759.95,0.0548,67.40
2025-04,Area_13,T174,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,48732,955,23002.95,0.0196,24.09
2025-04,Area_13,T174,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,131195,3592,83264.24,0.0274,23.18
2025-04,Area_13,T174,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,59749,957,63236.53,0.0160,66.08
2025-05,Area_13,T174,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,169849,9292,305473.01,0.0547,32.87
2025-05,Area_13,T174,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,111865,4980,119177.45,0.0445,23.93
2025-05,Area_13,T174,Paid Search,Google Ads,CAMP_003,PS_COMPETITOR_2025,194293,2737,293838.47,0.0141,107.36
2025-05,Area_13,T174,Paid Search,Google Ads,CAMP_004,PS_GENERIC_2025,203868,2065,220604.18,0.0101,106.83
2025-06,Area_13,T174,Paid Search,Google Ads,CAMP_001,PS_BRAND_2025,210471,9979,383713.53,0.0474,38.45
2025-06,Area_13,T174,Paid Search,Google Ads,CAMP_002,PS_NONBRAND_2025,131317,2863,274835.23,0.0218,96.00
