CONGRESS_INTERACTION_ID,CUSTOMER_ID,TIER,CONGRESS_NAME,MODE,START_TIME,END_TIME,INVITATION_SENT,REGISTERED,ATTENDED,SESSIONS_ATTENDED,MINUTES_SPENT,PARTICIPATION_TYPE,BOOTH_VISIT,MSL_MEETING,INTENT_SCORE,POST_CONGRESS_FOLLOWUP
CON00049,4669770275,tier_2,Clinical Excellence Y,Virtual,2025-09-27 16:00:00.000,2025-09-27 23:00:00.000,true,true,true,6,270,Delegate,false,false,3,true
CON00050,4669770275,tier_2,Therapy Advance Z,Hybrid,2025-07-09 09:00:00.000,2025-07-09 16:00:00.000,true,true,true,4,120,Delegate,true,false,4,false
CON00051,9449535598,tier_1,Clinical Excellence Y,Hybrid,2025-01-07 15:00:00.000,2025-01-07 17:00:00.000,true,true,true,5,150,Delegate,false,true,4,true
CON00052,8188658944,tier_2,Clinical Excellence Y,Hybrid,2025-02-22 11:00:00.000,2025-02-22 14:00:00.000,true,true,true,3,120,Delegate,false,false,5,false
CON00053,8188658944,tier_2,World Therapy Connect,Hybrid,2025-04-25 09:00:00.000,2025-04-25 12:00:00.000,true,false,false,0,0,Speaker,false,false,1,false
CON00054,8188658944,tier_2,World Therapy Connect,Virtual,2025-07-12 16:00:00.000,2025-07-12 21:00:00.000,true,true,true,6,360,Speaker,true,true,5,true
CON00055,7351909533,tier_1,Health Forum X,Physical,2025-06-21 09:00:00.000,2025-06-21 17:00:00.000,true,true,true,4,120,Delegate,false,false,5,false
CON00056,6931054615,tier_1,Global Med Summit A,Hybrid,2025-11-25 14:00:00.000,2025-11-25 18:00:00.000,true,true,true,1,30,Delegate,true,false,3,true
CON00057,6931054615,tier_1,Global Med Summit A,Physical,2025-04-19 12:00:00.000,2025-04-19 19:00:00.000,true,false,false,0,0,Delegate,false,false,1,false
CON00058,3992836088,tier_2,Clinical Excellence Y,Hybrid,2025-12-26 13:00:00.000,2025-12-26 20:00:00.000,true,true,true,6,180,Delegate,true,false,5,true
CON00059,3992836088,tier_2,Health Forum X,Hybrid,2025-10-22 14:00:00.000,2025-10-22 16:00:00.000,true,true,false,0,0,Delegate,false,false,1,false
CON00060,7894305805,tier_2,Therapy Advance Z,Physical,2025-02-02 13:00:00.000,2025-02-02 20:00:00.000,true,false,false,0,0,Speaker,false,false,1,false
CON00061,3940975235,tier_2,Future Care 360,Virtual,2025-05-24 09:00:00.000,2025-05-24 15:00:00.000,true,true,true,3,120,Delegate,true,true,5,true
CON00062,1006110268,tier_2,Global Med Summit A,Hybrid,2025-11-16 10:00:00.000,2025-11-16 17:00:00.000,true,false,false,0,0,Chairperson,false,false,3,true
CON00063,1006110268,tier_2,Global Med Summit A,Physical,2025-04-04 14:00:00.000,2025-04-04 20:00:00.000,true,true,true,1,45,Delegate,true,false,3,true
CON00064,7697105803,tier_2,Health Forum X,Virtual,2025-05-09 13:00:00.000,2025-05-09 18:00:00.000,true,true,true,2,80,Delegate,true,true,4,true
CON00065,7697105803,tier_2,Global Med Summit A,Physical,2025-09-15 16:00:00.000,2025-09-15 18:00:00.000,true,true,true,3,180,Delegate,true,false,5,true
CON00066,7697105803,tier_2,Health Forum X,Hybrid,2025-07-24 10:00:00.000,2025-07-24 18:00:00.000,true,true,true,4,180,Delegate,false,true,5,true
CON00067,4438569573,tier_2,Therapy Advance Z,Physical,2025-03-02 11:00:00.000,2025-03-02 15:00:00.000,true,true,true,1,30,Delegate,false,false,5,true
CON00068,7769670690,tier_1,Med Innovation Hub,Hybrid,2025-12-14 12:00:00.000,2025-12-14 15:00:00.000,true,true,true,6,270,Speaker,true,false,5,false
CON00069,7769670690,tier_1,Health Forum X,Physical,2025-05-09 15:00:00.000,2025-05-09 19:00:00.000,true,true,true,6,180,Delegate,true,false,4,true
CON00070,6398141095,tier_2,Med Innovation Hub,Hybrid,2025-10-18 12:00:00.000,2025-10-18 15:00:00.000,true,true,true,2,60,Chairperson,true,false,4,true
CON00071,6398141095,tier_2,Therapy Advance Z,Virtual,2025-10-24 12:00:00.000,2025-10-24 18:00:00.000,true,true,true,1,60,Delegate,false,false,4,false
CON00072,7350038899,tier_2,Therapy Advance Z,Physical,2025-05-26 16:00:00.000,2025-05-27 00:00:00.000,true,true,true,2,120,Delegate,true,true,3,true
CON00073,5914647124,tier_2,Med Innovation Hub,Physical,2025-04-01 16:00:00.000,2025-04-01 22:00:00.000,true,true,true,2,80,Speaker,true,false,4,false
CON00074,5914647124,tier_2,Health Forum X,Virtual,2025-12-08 13:00:00.000,2025-12-08 15:00:00.000,true,true,true,5,150,Delegate,true,false,4,true
CON00075,7563798065,tier_1,Health Forum X,Hybrid,2025-08-04 16:00:00.000,2025-08-04 19:00:00.000,true,true,true,3,90,Delegate,false,false,3,true
CON00076,8955124685,tier_1,Therapy Advance Z,Hybrid,2025-05-05 14:00:00.000,2025-05-05 18:00:00.000,true,true,true,2,60,Delegate,false,false,3,false
CON00077,8955124685,tier_1,Therapy Advance Z,Hybrid,2025-04-14 08:00:00.000,2025-04-14 11:00:00.000,true,true,true,4,180,Speaker,false,false,5,true
CON00078,8955124685,tier_1,Future Care 360,Physical,2025-04-02 09:00:00.000,2025-04-02 17:00:00.000,true,true,true,2,60,Delegate,true,false,4,true
CON00079,8033754791,tier_1,Med Innovation Hub,Physical,2025-10-13 08:00:00.000,2025-10-13 14:00:00.000,true,true,true,4,120,Delegate,true,true,3,true
CON00080,8033754791,tier_1,Therapy Advance Z,Virtual,2025-09-08 14:00:00.000,2025-09-08 22:00:00.000,true,true,true,3,135,Delegate,false,true,4,true
CON00081,8033754791,tier_1,World Therapy Connect,Physical,2025-02-11 10:00:00.000,2025-02-11 15:00:00.000,true,true,true,4,160,Delegate,true,false,5,true
CON00082,7874923832,tier_2,Global Med Summit A,Physical,2025-01-05 08:00:00.000,2025-01-05 13:00:00.000,true,true,true,6,180,Delegate,true,false,3,false
CON00083,7874923832,tier_2,Therapy Advance Z,Virtual,2025-02-25 13:00:00.000,2025-02-25 20:00:00.000,true,true,true,2,120,Delegate,false,true,3,false
CON00084,7874923832,tier_2,Med Innovation Hub,Physical,2025-02-10 12:00:00.000,2025-02-10 14:00:00.000,true,true,true,2,60,Delegate,false,false,4,true
CON00085,3785577471,tier_1,Global Med Summit A,Hybrid,2025-11-18 11:00:00.000,2025-11-18 18:00:00.000,true,true,true,5,150,Delegate,true,false,5,false
CON00086,4270646015,tier_2,World Therapy Connect,Hybrid,2025-10-17 14:00:00.000,2025-10-17 20:00:00.000,true,true,true,5,200,Delegate,true,true,4,true
CON00087,4270646015,tier_2,Therapy Advance Z,Hybrid,2025-03-31 14:00:00.000,2025-03-31 19:00:00.000,true,true,true,5,200,Delegate,false,true,5,false
CON00088,4591375053,tier_2,Clinical Excellence Y,Physical,2025-06-02 15:00:00.000,2025-06-02 20:00:00.000,true,true,true,1,60,Speaker,false,true,3,false
CON00089,4591375053,tier_2,World Therapy Connect,Hybrid,2025-03-11 10:00:00.000,2025-03-11 18:00:00.000,true,true,true,1,40,Delegate,true,false,4,false
CON00090,4591375053,tier_2,Health Forum X,Physical,2025-08-26 08:00:00.000,2025-08-26 14:00:00.000,true,true,true,5,300,Speaker,true,false,5,false
CON00091,4087104907,tier_1,Med Innovation Hub,Virtual,2025-02-15 08:00:00.000,2025-02-15 10:00:00.000,true,true,true,6,180,Delegate,true,true,3,false
CON00092,4087104907,tier_1,Health Forum X,Hybrid,2025-07-04 14:00:00.000,2025-07-04 20:00:00.000,true,false,false,0,0,Delegate,false,false,2,true
CON00093,4087104907,tier_1,Clinical Excellence Y,Hybrid,2025-01-23 08:00:00.000,2025-01-23 14:00:00.000,true,true,true,1,40,Delegate,true,true,4,false
CON00094,1248145663,tier_1,Clinical Excellence Y,Virtual,2025-12-21 08:00:00.000,2025-12-21 13:00:00.000,true,true,true,4,240,Delegate,true,false,3,false
CON00095,1248145663,tier_1,Med Innovation Hub,Physical,2025-04-07 13:00:00.000,2025-04-07 20:00:00.000,true,true,true,1,40,Delegate,true,false,4,false
CON00096,1213924437,tier_1,Therapy Advance Z,Hybrid,2025-12-06 11:00:00.000,2025-12-06 14:00:00.000,true,true,true,6,180,Delegate,true,true,4,false
CON00097,8711867331,tier_1,Therapy Advance Z,Hybrid,2025-01-08 11:00:00.000,2025-01-08 15:00:00.000,true,true,true,4,240,Delegate,true,false,5,true
CON00098,6605046340,tier_2,Med Innovation Hub,Physical,2025-04-22 16:00:00.000,2025-04-22 19:00:00.000,true,true,false,0,0,Delegate,false,false,3,true
CON00099,6605046340,tier_2,Future Care 360,Physical,2025-05-13 16:00:00.000,2025-05-13 19:00:00.000,true,true,true,5,200,Delegate,true,true,4,true
CON00100,4588002293,tier_1,Clinical Excellence Y,Virtual,2025-10-23 14:00:00.000,2025-10-23 16:00:00.000,true,false,false,0,0,Delegate,false,false,3,true
CON00101,4588002293,tier_1,Clinical Excellence Y,Physical,2025-08-05 09:00:00.000,2025-08-05 15:00:00.000,true,false,false,0,0,Delegate,false,false,1,true
CON00102,4121288612,tier_1,Future Care 360,Virtual,2025-05-04 12:00:00.000,2025-05-04 18:00:00.000,true,true,true,3,180,Speaker,false,true,3,false
CON00103,4121288612,tier_1,Therapy Advance Z,Physical,2025-11-17 16:00:00.000,2025-11-18 00:00:00.000,true,true,false,0,0,Delegate,false,false,2,false
CON00104,4121288612,tier_1,Therapy Advance Z,Hybrid,2025-03-13 16:00:00.000,2025-03-13 19:00:00.000,true,true,true,5,200,Delegate,false,false,3,true
CON00105,3201686392,tier_1,Clinical Excellence Y,Physical,2025-01-22 10:00:00.000,2025-01-22 13:00:00.000,true,true,true,5,225,Delegate,true,false,5,true
CON00106,3201686392,tier_1,Med Innovation Hub,Hybrid,2025-06-27 11:00:00.000,2025-06-27 16:00:00.000,true,true,true,5,150,Delegate,false,false,5,true
CON00107,6742528226,tier_1,Future Care 360,Virtual,2025-11-27 09:00:00.000,2025-11-27 14:00:00.000,true,true,true,5,200,Delegate,false,false,3,false
CON00108,4197123295,tier_1,Med Innovation Hub,Virtual,2025-08-15 09:00:00.000,2025-08-15 12:00:00.000,true,false,false,0,0,Delegate,false,false,3,false
CON00109,4197123295,tier_1,Health Forum X,Physical,2025-08-15 09:00:00.000,2025-08-15 12:00:00.000,true,true,true,4,240,Delegate,false,true,4,true
CON00110,4197123295,tier_1,Global Med Summit A,Virtual,2025-01-19 12:00:00.000,2025-01-19 17:00:00.000,true,false,false,0,0,Delegate,false,false,1,true
CON00111,8148707024,tier_1,Med Innovation Hub,Hybrid,2025-10-14 15:00:00.000,2025-10-14 22:00:00.000,true,false,false,0,0,Delegate,false,false,2,true
CON00112,6248733713,tier_1,Health Forum X,Hybrid,2025-09-08 13:00:00.000,2025-09-08 15:00:00.000,true,true,true,5,300,Speaker,false,false,4,true
CON00113,2547778308,tier_1,Med Innovation Hub,Physical,2025-08-22 10:00:00.000,2025-08-22 12:00:00.000,true,true,true,3,180,Delegate,false,false,3,false
CON00114,2547778308,tier_1,Future Care 360,Physical,2025-01-18 16:00:00.000,2025-01-18 18:00:00.000,true,true,false,0,0,Speaker,false,false,2,false
CON00115,2547778308,tier_1,Clinical Excellence Y,Physical,2025-11-27 11:00:00.000,2025-11-27 13:00:00.000,true,true,true,3,135,Delegate,false,true,5,true
CON00116,7968781503,tier_2,Health Forum X,Virtual,2025-12-24 13:00:00.000,2025-12-24 15:00:00.000,true,true,true,4,120,Delegate,true,false,3,true
CON00117,8752820521,tier_2,Clinical Excellence Y,Virtual,2025-02-08 15:00:00.000,2025-02-08 20:00:00.000,true,false,false,0,0,Delegate,false,false,2,true
CON00118,8752820521,tier_2,Health Forum X,Hybrid,2025-12-10 15:00:00.000,2025-12-10 18:00:00.000,true,true,false,0,0,Delegate,false,false,1,false
CON00119,8752820521,tier_2,Global Med Summit A,Hybrid,2025-10-21 11:00:00.000,2025-10-21 17:00:00.000,true,true,true,6,270,Delegate,false,false,5,false
CON00120,7642872355,tier_2,Global Med Summit A,Virtual,2025-08-04 13:00:00.000,2025-08-04 20:00:00.000,true,true,false,0,0,Delegate,false,false,3,true
CON00121,7748299176,tier_2,World Therapy Connect,Hybrid,2025-08-15 09:00:00.000,2025-08-15 16:00:00.000,true,true,true,6,240,Speaker,true,true,4,true
CON00122,7748299176,tier_2,Clinical Excellence Y,Virtual,2025-05-14 13:00:00.000,2025-05-14 19:00:00.000,true,true,true,2,90,Delegate,false,false,4,true
CON00123,6654283754,tier_1,Med Innovation Hub,Hybrid,2025-02-03 16:00:00.000,2025-02-03 18:00:00.000,true,true,false,0,0,Delegate,false,false,2,true
CON00124,6654283754,tier_1,Global Med Summit A,Hybrid,2025-02-13 14:00:00.000,2025-02-13 16:00:00.000,true,true,false,0,0,Delegate,false,false,2,false
CON00125,6654283754,tier_1,World Therapy Connect,Physical,2025-10-26 14:00:00.000,2025-10-26 17:00:00.000,true,true,false,0,0,Delegate,false,false,1,true
CON00126,6417245093,tier_1,Future Care 360,Virtual,2025-04-03 10:00:00.000,2025-04-03 17:00:00.000,true,true,true,3,90,Delegate,false,false,4,true
CON00127,6417245093,tier_1,Health Forum X,Physical,2025-03-21 10:00:00.000,2025-03-21 15:00:00.000,true,true,true,5,150,Speaker,true,true,5,true
CON00128,3186747483,tier_1,Future Care 360,Hybrid,2025-01-06 08:00:00.000,2025-01-06 14:00:00.000,true,true,true,3,135,Delegate,true,true,3,true
CON00129,3186747483,tier_1,Health Forum X,Virtual,2025-12-02 11:00:00.000,2025-12-02 14:00:00.000,true,true,true,4,240,Delegate,true,false,5,false
CON00130,3186747483,tier_1,Global Med Summit A,Hybrid,2025-08-08 14:00:00.000,2025-08-08 20:00:00.000,true,true,true,4,240,Delegate,false,false,3,false
CON00131,8354856148,tier_1,Global Med Summit A,Physical,2025-12-21 09:00:00.000,2025-12-21 13:00:00.000,true,true,true,2,90,Delegate,false,false,5,true
CON00132,8354856148,tier_1,Med Innovation Hub,Hybrid,2025-05-03 08:00:00.000,2025-05-03 16:00:00.000,true,true,true,4,240,Chairperson,true,true,4,true
CON00133,8354856148,tier_1,Med Innovation Hub,Virtual,2025-05-05 10:00:00.000,2025-05-05 15:00:00.000,true,true,true,2,120,Chairperson,false,false,5,false
CON00134,5468957121,tier_2,Health Forum X,Hybrid,2025-11-28 09:00:00.000,2025-11-28 14:00:00.000,true,false,false,0,0,Delegate,false,false,3,true
CON00135,5468957121,tier_2,Health Forum X,Hybrid,2025-09-16 15:00:00.000,2025-09-16 20:00:00.000,true,true,true,5,225,Delegate,false,false,5,true
CON00136,7049492338,tier_1,Med Innovation Hub,Physical,2025-07-10 16:00:00.000,2025-07-10 19:00:00.000,true,true,true,5,225,Delegate,true,false,5,true
CON00137,7049492338,tier_1,Health Forum X,Virtual,2025-07-19 15:00:00.000,2025-07-19 19:00:00.000,true,true,true,1,40,Delegate,true,false,5,true
CON00138,7049492338,tier_1,Clinical Excellence Y,Physical,2025-02-07 16:00:00.000,2025-02-07 23:00:00.000,true,true,true,1,30,Delegate,false,true,5,true
CON00139,4777149983,tier_2,Med Innovation Hub,Physical,2025-06-12 16:00:00.000,2025-06-12 20:00:00.000,true,false,false,0,0,Delegate,false,false,1,true
CON00140,4777149983,tier_2,Therapy Advance Z,Hybrid,2025-08-24 08:00:00.000,2025-08-24 16:00:00.000,true,true,true,2,60,Delegate,false,false,3,true
CON00141,4628294656,tier_1,Global Med Summit A,Hybrid,2025-06-07 12:00:00.000,2025-06-07 14:00:00.000,true,true,true,2,90,Delegate,false,false,5,true
CON00142,4628294656,tier_1,World Therapy Connect,Hybrid,2025-04-28 14:00:00.000,2025-04-28 16:00:00.000,true,true,true,2,120,Speaker,false,false,5,true
CON00143,4628294656,tier_1,Health Forum X,Hybrid,2025-04-05 16:00:00.000,2025-04-06 00:00:00.000,true,true,true,5,300,Delegate,true,false,5,true
CON00144,5939340632,tier_2,Health Forum X,Physical,2025-01-31 15:00:00.000,2025-01-31 23:00:00.000,true,true,true,1,60,Speaker,true,true,3,false
CON00145,5939340632,tier_2,Future Care 360,Physical,2025-03-01 14:00:00.000,2025-03-01 18:00:00.000,true,true,true,1,30,Delegate,true,true,3,true
CON00146,5939340632,tier_2,Global Med Summit A,Hybrid,2025-09-21 09:00:00.000,2025-09-21 11:00:00.000,true,true,true,1,30,Delegate,true,false,3,false
CON00147,8353011698,tier_2,World Therapy Connect,Hybrid,2025-05-27 15:00:00.000,2025-05-27 21:00:00.000,true,true,true,5,200,Delegate,true,false,5,false
CON00148,2741527772,tier_2,Health Forum X,Hybrid,2025-01-19 16:00:00.000,2025-01-19 19:00:00.000,true,false,false,0,0,Delegate,false,false,2,false
CON00149,2741527772,tier_2,Health Forum X,Hybrid,2025-03-20 12:00:00.000,2025-03-20 15:00:00.000,true,true,true,1,30,Delegate,false,false,4,false
CON00150,2741527772,tier_2,Therapy Advance Z,Physical,2025-01-17 13:00:00.000,2025-01-17 17:00:00.000,true,false,false,0,0,Delegate,false,false,2,true
CON00151,4216820970,tier_2,Global Med Summit A,Physical,2025-11-21 12:00:00.000,2025-11-21 16:00:00.000,true,true,true,2,120,Delegate,true,false,3,false
CON00152,4216820970,tier_2,Future Care 360,Physical,2025-12-18 12:00:00.000,2025-12-18 19:00:00.000,true,false,false,0,0,Delegate,false,false,1,false
CON00153,4216820970,tier_2,Health Forum X,Hybrid,2025-04-26 12:00:00.000,2025-04-26 18:00:00.000,true,true,false,0,0,Delegate,false,false,2,true
CON00154,7986839117,tier_2,Therapy Advance Z,Virtual,2025-08-02 12:00:00.000,2025-08-02 19:00:00.000,true,true,true,1,30,Delegate,false,false,5,false
CON00155,7986839117,tier_2,Global Med Summit A,Hybrid,2025-06-09 10:00:00.000,2025-06-09 12:00:00.000,true,true,false,0,0,Delegate,false,false,2,false
CON00156,7986839117,tier_2,Med Innovation Hub,Virtual,2025-02-03 13:00:00.000,2025-02-03 17:00:00.000,true,true,true,3,180,Delegate,false,false,4,true
CON00157,1945157035,tier_2,Therapy Advance Z,Physical,2025-08-10 11:00:00.000,2025-08-10 15:00:00.000,true,true,true,6,240,Delegate,false,false,4,false
CON00158,5116620345,tier_1,Future Care 360,Hybrid,2025-07-12 15:00:00.000,2025-07-12 22:00:00.000,true,true,false,0,0,Delegate,false,false,1,true
CON00159,8023820831,tier_2,World Therapy Connect,Virtual,2025-03-26 13:00:00.000,2025-03-26 16:00:00.000,true,true,true,3,90,Delegate,true,false,5,true
CON00160,7870457971,tier_2,Health Forum X,Virtual,2025-11-04 12:00:00.000,2025-11-04 20:00:00.000,true,false,false,0,0,Delegate,false,false,3,true
CON00161,7870457971,tier_2,World Therapy Connect,Physical,2025-11-14 10:00:00.000,2025-11-14 12:00:00.000,true,true,true,4,180,Delegate,false,false,5,true
CON00162,4925724650,tier_1,World Therapy Connect,Hybrid,2025-02-19 09:00:00.000,2025-02-19 14:00:00.000,true,true,true,1,45,Delegate,true,false,5,false
CON00163,2049679483,tier_1,Therapy Advance Z,Hybrid,2025-10-30 13:00:00.000,2025-10-30 19:00:00.000,true,false,false,0,0,Delegate,false,false,3,true
CON00164,2049679483,tier_1,Med Innovation Hub,Physical,2025-11-08 08:00:00.000,2025-11-08 15:00:00.000,true,false,false,0,0,Delegate,false,false,3,false
CON00165,1088393119,tier_1,Med Innovation Hub,Virtual,2025-05-13 12:00:00.000,2025-05-13 17:00:00.000,true,true,true,5,225,Delegate,false,false,3,false
CON00166,1088393119,tier_1,World Therapy Connect,Virtual,2025-12-08 13:00:00.000,2025-12-08 20:00:00.000,true,true,true,3,135,Chairperson,true,true,4,true
